@relation emotions-Split-Ts-1-weka.filters.unsupervised.attribute.NumericToNominal-R73-78

@attribute Mean_Acc1298_Mean_Mem40_Centroid numeric
@attribute Mean_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Mean_Mem40_Flux numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Mean_Acc1298_Std_Mem40_Centroid numeric
@attribute Mean_Acc1298_Std_Mem40_Rolloff numeric
@attribute Mean_Acc1298_Std_Mem40_Flux numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Mean_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Mean_Mem40_Centroid numeric
@attribute Std_Acc1298_Mean_Mem40_Rolloff numeric
@attribute Std_Acc1298_Mean_Mem40_Flux numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Mean_Mem40_MFCC_12 numeric
@attribute Std_Acc1298_Std_Mem40_Centroid numeric
@attribute Std_Acc1298_Std_Mem40_Rolloff numeric
@attribute Std_Acc1298_Std_Mem40_Flux numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_0 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_1 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_2 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_3 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_4 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_5 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_6 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_7 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_8 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_9 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_10 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_11 numeric
@attribute Std_Acc1298_Std_Mem40_MFCC_12 numeric
@attribute BH_LowPeakAmp numeric
@attribute BH_LowPeakBPM numeric
@attribute BH_HighPeakAmp numeric
@attribute BH_HighPeakBPM numeric
@attribute BH_HighLowRatio numeric
@attribute BHSUM1 numeric
@attribute BHSUM2 numeric
@attribute BHSUM3 numeric
@attribute amazed.suprised {0,1}
@attribute happy.pleased {0,1}
@attribute relaxing.calm {0,1}
@attribute quiet.still {0,1}
@attribute sad.lonely {0,1}
@attribute angry.aggresive {0,1}

@data
0.034741,0.089665,0.091225,-73.302422,6.215179,0.615074,2.03716,0.804065,1.301409,0.558576,0.672063,0.783788,0.76664,0.458712,0.530384,0.812429,0.028851,0.129039,0.039614,5.762173,1.636819,1.170034,1.051511,0.764163,0.642705,0.617868,0.510265,0.566213,0.509149,0.477275,0.505073,0.463535,0.013519,0.050591,0.009025,8.156257,1.077167,0.624711,0.810244,0.399568,0.279947,0.314215,0.231439,0.345401,0.285389,0.210613,0.321896,0.290551,0.022774,0.095801,0.015057,4.748694,0.536378,0.296306,0.27321,0.1758,0.105508,0.168246,0.115849,0.13602,0.110514,0.100517,0.11863,0.094923,0.051035,68,0.014937,136,2,0.245457,0.105065,0.405399,0,1,1,0,0,0
0.081374,0.272747,0.085733,-62.584437,3.183163,-0.218145,0.163038,0.620251,0.458514,0.041426,0.308287,0.538152,0.594871,0.734332,0.415489,0.761508,0.066288,0.26237,0.034438,3.480874,1.596532,0.943803,0.804444,0.511229,0.49867,0.523039,0.480916,0.488657,0.483166,0.445187,0.415994,0.405593,0.013621,0.073041,0.010094,1.243981,0.82979,0.252972,0.347831,0.205087,0.168601,0.178009,0.14408,0.178703,0.146937,0.12558,0.128202,0.107007,0.020028,0.06694,0.029483,3.963534,0.38236,0.168389,0.117525,0.098341,0.087046,0.057991,0.059393,0.059457,0.053439,0.067684,0.070075,0.041565,0.295031,70,0.276366,140,2,0.343547,0.276366,0.710924,1,0,0,0,0,1
0.042481,0.199281,0.093447,-80.305152,5.824409,0.648848,1.75487,1.495532,0.739909,0.809644,0.460945,0.409566,0.680122,0.590405,0.48138,0.621956,0.049939,0.281616,0.044727,6.719538,1.377811,1.265771,0.986178,0.710955,0.706904,0.710147,0.688825,0.699573,0.577976,0.533882,0.501818,0.495368,0.020749,0.106318,0.009108,3.992357,0.656429,0.927692,0.569916,0.378919,0.530714,0.317807,0.308447,0.324934,0.263444,0.359477,0.274257,0.233287,0.032678,0.11948,0.028707,4.125111,0.461304,0.280751,0.246108,0.142805,0.183657,0.124399,0.155513,0.167114,0.113774,0.112815,0.129145,0.12233,0.043012,66,0.206562,132,2,0.102839,0.241934,0.351009,0,0,1,0,0,0
0.052434,0.110653,0.09677,-69.792637,6.598383,1.258462,2.873985,0.503222,0.782427,-0.143505,0.338997,-0.186085,0.325765,0.157168,0.454723,0.353157,0.0611,0.18247,0.046543,5.414537,1.64609,1.149108,0.903827,0.743446,0.70045,0.610953,0.607789,0.56981,0.515551,0.473992,0.492629,0.467567,0.017641,0.049527,0.007909,3.835748,0.769825,0.808127,0.560954,0.396785,0.420713,0.542216,0.508029,0.473474,0.459661,0.355348,0.308208,0.340781,0.037052,0.075122,0.027889,4.694374,0.443698,0.346999,0.277305,0.154298,0.134325,0.098063,0.129451,0.123337,0.151916,0.082887,0.110493,0.072176,0.218684,64,0.05387,128,2,0.403684,0.24591,0.649594,0,1,1,0,0,0
0.044949,0.092085,0.097908,-68.406051,4.552287,0.898913,1.641708,1.490264,1.269593,0.884284,0.808403,0.150058,0.474578,0.780169,0.698994,0.767477,0.037329,0.129705,0.043602,5.843585,1.562391,1.162586,1.095826,1.011066,0.753695,0.825064,0.648638,0.658814,0.544174,0.483505,0.565364,0.464623,0.02144,0.042342,0.009317,2.278805,0.584095,0.377787,0.433472,0.405403,0.263973,0.279862,0.233755,0.246134,0.193811,0.128118,0.197081,0.157612,0.035572,0.068647,0.028444,3.708926,0.376434,0.2297,0.237802,0.2602,0.105052,0.116184,0.148467,0.105881,0.11271,0.081464,0.081107,0.071943,0.037882,53,0.059756,106,2,0.23707,0.087547,0.329783,0,0,0,0,0,1
0.070779,0.249749,0.088224,-71.464692,3.781501,0.946865,2.00859,0.425796,0.431214,0.74882,0.312963,0.684434,0.448612,0.385034,0.636508,0.394653,0.062566,0.233248,0.03709,5.807147,1.09491,1.257772,1.027029,0.82805,0.60801,0.577094,0.563382,0.501218,0.504829,0.438189,0.428289,0.406116,0.029491,0.146032,0.009238,3.767215,0.836447,0.722986,1.010999,0.4118,0.479368,0.292757,0.367049,0.314475,0.282423,0.253884,0.3112,0.17892,0.035783,0.112092,0.029673,4.566799,0.656572,0.380315,0.280867,0.244503,0.131112,0.176219,0.132303,0.104672,0.112889,0.109043,0.086567,0.066596,0.080509,81,0.406049,162,2,0.293736,0,0.835918,0,1,1,0,0,0
0.036562,0.07414,0.077247,-70.267813,8.268667,-0.828732,2.066208,0.477379,1.758715,0.830623,1.08465,0.895668,0.15495,0.517579,-0.028205,0.64094,0.017275,0.051859,0.03012,3.03103,1.220172,0.769348,0.638049,0.55811,0.535562,0.561834,0.523278,0.535594,0.475299,0.477172,0.433362,0.410064,0.01686,0.055012,0.008329,2.708556,1.253066,0.538376,0.411595,0.34881,0.229077,0.270842,0.305822,0.275972,0.294823,0.261171,0.264916,0.163782,0.028386,0.061265,0.030247,4.085003,0.545045,0.268081,0.186048,0.114108,0.109789,0.109193,0.110755,0.095753,0.092783,0.10494,0.086373,0.081639,0.251613,90,0.220614,180,2,0.516142,0.177216,1.164726,0,0,1,1,1,0
0.073788,0.250403,0.094382,-71.74645,3.284483,0.326715,2.334506,0.567338,0.744065,0.510656,0.705776,0.265347,0.137199,0.614462,0.3587,0.579978,0.065977,0.254251,0.050067,6.808461,1.627414,0.991094,0.939982,0.713142,0.698768,0.722498,0.638908,0.595839,0.49767,0.524823,0.503939,0.495169,0.017189,0.057807,0.007417,3.273868,0.675836,0.622131,0.332678,0.302428,0.211394,0.285269,0.264538,0.279959,0.257477,0.171081,0.182987,0.209984,0.021639,0.069582,0.027588,3.39234,0.502725,0.218145,0.13749,0.121531,0.112684,0.183188,0.145547,0.132815,0.086038,0.075193,0.097757,0.070971,0.598458,88,1.013591,176,2,1.493682,0.102761,2.676193,0,1,1,0,0,0
0.090841,0.221729,0.083844,-62.03853,3.3929,0.122367,1.32222,0.259427,0.546771,0.591368,0.419064,0.525858,0.766899,0.301706,0.42107,0.31885,0.049267,0.147887,0.030995,3.940208,1.193657,0.852737,0.893404,0.805841,0.650716,0.580267,0.571912,0.551561,0.578482,0.475611,0.478703,0.472023,0.020568,0.051397,0.008491,1.583536,0.543385,0.600194,0.541869,0.479099,0.245186,0.315148,0.249551,0.213228,0.318042,0.144751,0.172649,0.160604,0.025371,0.062529,0.030007,3.889851,0.369155,0.212134,0.191676,0.165876,0.147614,0.112851,0.099206,0.093833,0.108841,0.060203,0.090094,0.075316,0.262349,90,0.41677,180,2,0.570178,0.195529,1.386673,1,0,0,0,0,1
0.118812,0.282714,0.098123,-73.044706,3.325299,0.843389,1.941173,0.869662,0.410705,0.985148,0.444858,0.376239,0.32359,0.365712,0.60064,0.395985,0.109781,0.251526,0.043624,6.284351,1.988883,1.711572,1.255824,0.979814,1.016693,0.76654,0.719634,0.59864,0.592697,0.545239,0.528358,0.468472,0.056746,0.111822,0.009569,3.531461,0.796007,0.687073,0.53581,0.531361,0.401741,0.289049,0.217922,0.174371,0.218597,0.160786,0.149787,0.122954,0.056593,0.069429,0.028434,3.757581,0.505087,0.337882,0.270039,0.239794,0.148151,0.152759,0.150247,0.105612,0.094192,0.107838,0.08737,0.070076,0.008598,90,0.135224,180,2,0.0198,0.082193,0.46526,0,0,0,0,0,1
