"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0314825940981319,0.118243681171062,0.00953690927761138,7.39140198860617,2.05693826777564,1.00414383316166,0.611607745354441,0.442636482720282,0.351043635951663,0.29147585694096,0.301014183127066,0.273858461820602,0.224265808490113,0.219245494171436,0.220890847610221,0.203045693532521,0.0298166277318141,0.108672731872385,0.00903289271967346,1.55111862387049,0.404269547485687,0.266153062608211,0.212791602872439,0.150288068462755,0.107647384598393,0.0928392159611225,0.0909463642197731,0.0857948996939976,0.0799231997938932,0.0727128485176096,0.0728585235338685,0.0762166230742512,0.0106470545406697,0.0319645778463662,0.00154253092929659,1.77756928770231,0.361139579789154,0.263289053824683,0.20536239499844,0.148911036307203,0.139723183786623,0.144388685500996,0.148775426819652,0.163362760823928,0.156328009818949,0.168363096594586,0.158801145024283,0.155523615165454,0.00766796844971546,0.0244366393475541,0.00158781703834862,0.512475314323476,0.138417089423802,0.08717854623641,0.0765602651255063,0.0568795344248909,0.0408343334250102,0.0383920860644199,0.0381381476711265,0.0453544813745781,0.0482150193991077,0.050890330302137,0.0548287210990093,0.0579728613108186,0.303549578061258,15.0882321705349,0.380402346154565,30.8274914379932,0.313119351723069,0.350628300486405,0.38061875543821,0.685950926008909,0.455681995544922,0.44971541954115,0.497532589805356,0.43209080957031,0.450943405815729,0.466359699577594,0.678618413417497,0.0137363299249313
"mean",0.0694180404040404,0.198170358585859,0.0855035151515151,-72.7002154747475,4.91632671969697,0.583262295454545,1.65929172222222,0.635519694444444,0.817471090909091,0.511831684343434,0.529009636363636,0.485790090909091,0.51927951010101,0.485355704545455,0.443731848484848,0.455709037878788,0.0458686060606061,0.159705446969697,0.0357088232323232,4.5465565479798,1.29492563888889,0.935848080808081,0.777829772727273,0.647321623737374,0.576083861111111,0.552968166666667,0.537819679292929,0.519250257575758,0.50886795959596,0.491868851010101,0.482150462121212,0.467116944444444,0.023905702020202,0.0650298585858586,0.00814185606060606,3.59778381818182,0.861861244949495,0.62853895959596,0.50650046969697,0.382487845959596,0.332718477272727,0.317076661616162,0.311382505050505,0.306846108585859,0.29973796969697,0.288435467171717,0.280191545454545,0.268214679292929,0.0287897904040404,0.067213101010101,0.0295201868686869,4.16493340656566,0.413341651515152,0.240369414141414,0.199289737373737,0.149055507575758,0.12244553030303,0.116335300505051,0.114540376262626,0.112914775252525,0.11398575,0.110764376262626,0.109812580808081,0.106098939393939,0.229199868686869,75.1767676767677,0.251451345959596,156.292929292929,2.09090909090909,0.408606588383838,0.365087047979798,0.971120924242424,0.292929292929293,0.28030303030303,0.444444444444444,0.247474747474747,0.282828282828283,0.318181818181818,1.86616161616162,0.0107882334396447
"median",0.0653725,0.171671,0.083121,-72.2535925,4.505463,0.603841,1.6976605,0.623019,0.8057725,0.535804,0.5313295,0.4723945,0.505482,0.483206,0.436473,0.4558035,0.0378215,0.125909,0.0338145,4.4154395,1.233297,0.905361,0.7356835,0.6184665,0.5582785,0.544278,0.524386,0.5131905,0.5020595,0.4862715,0.481515,0.4587585,0.0216685,0.056591,0.007909,3.250245,0.795242,0.584897,0.487176,0.369351,0.31207,0.2859075,0.28922,0.287518,0.2716125,0.248235,0.2478685,0.2323115,0.027109,0.0627425,0.029878,4.1080775,0.401595,0.2340895,0.1835735,0.140476,0.118232,0.11311,0.1109945,0.106126,0.102646,0.0996445,0.094586,0.088227,0.100719,71,0.078514,150,2,0.295552,0.246229,0.786613,0,0,0,0,0,0,2,0.000854131589592466
"sum",27.489544,78.475462,33.859392,-28789.285328,1946.865381,230.971869,657.079522,251.665799,323.718552,202.685347,209.487816,192.372876,205.634686,192.200859,175.717812,180.460779,18.163968,63.243357,14.140694,1800.436393,512.790553,370.59584,308.02059,256.339363,228.129209,218.975394,212.976593,205.623102,201.511712,194.780065,190.931583,184.97831,9.466658,25.751824,3.224175,1424.722392,341.297053,248.901428,200.574186,151.465187,131.756517,125.562358,123.307472,121.511059,118.696236,114.220445,110.955852,106.213013,11.400757,26.616388,11.689994,1649.313629,163.683294,95.186288,78.918736,59.025981,48.48843,46.068779,45.357989,44.714251,45.138357,43.862693,43.485782,42.01518,90.763148,29770,99.574733,61892,828,161.808209,144.574471,384.563886,116,111,176,98,112,126,739,4.27214044209932
"max",0.195412,0.666776,0.15946,-56.297652,12.069754,3.391531,4.38237,2.25271,1.977678,1.439812,1.689284,1.846221,1.048844,1.290063,1.876704,1.246864,0.168399,0.471795,0.11619,15.262381,3.664476,2.04521,1.491016,1.174394,1.016693,0.825064,0.870778,1.098111,0.839606,0.833424,0.759136,1.001184,0.117437,0.234718,0.02273,11.86664,2.410458,2.202609,1.472541,1.025277,1.038158,1.155625,1.334833,1.729741,1.169477,1.28184,1.181478,1.19476,0.063173,0.186134,0.032048,6.536928,1.046212,0.618704,0.528945,0.353845,0.26485,0.241432,0.304417,0.411033,0.296556,0.355242,0.471506,0.415202,1.598533,115,1.762948,237,3,1.788567,1.797765,3.422899,1,1,1,1,1,1,3,0.0413748812039707
"min",0.010201,0.039277,0.070932,-99.090802,0.051474,-2.235707,-0.604609,-1.038761,-0.092158,-0.363235,-0.895966,-0.351568,-0.29477,-0.258025,-0.157277,-0.129515,0.006918,0.017434,0.025297,1.665689,0.54449,0.473967,0.449325,0.343973,0.376085,0.329479,0.322254,0.327975,0.296855,0.297832,0.281625,0.273264,0.010574,0.018333,0.005711,1.103874,0.181559,0.125179,0.079273,0.055489,0.040192,0.048815,0.068473,0.064871,0.057608,0.048231,0.041973,0.040482,0.008712,0.016888,0.00909,1.90852,0.105014,0.048375,0.054015,0.043679,0.039299,0.040493,0.040339,0.032399,0.040276,0.038015,0.032472,0.035587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10%",0.034991,0.0704305,0.0766015,-81.8927645,2.629849,-0.7137305,0.9036745,0.187305,0.3675575,0.1399755,0.191933,0.154519,0.2169115,0.2244765,0.2001725,0.2121435,0.0175045,0.0441285,0.028565,2.733466,0.823946,0.6162585,0.5311265,0.4841395,0.4551795,0.4445445,0.4327605,0.4271865,0.4186585,0.4061775,0.3975995,0.3852755,0.0149975,0.036521,0.0068355,1.7834175,0.4790495,0.3426495,0.2721775,0.210825,0.1852085,0.172278,0.1645805,0.156063,0.143473,0.1414685,0.127908,0.121319,0.022503,0.044769,0.0284405,3.5870255,0.2491475,0.137554,0.1162455,0.081907,0.074243,0.06693,0.070696,0.0652865,0.0651805,0.061363,0.0603835,0.0566695,0.0240335,58,0,120,2,0.086661,0.031472,0.3008675,0,0,0,0,0,0,1,0
"25%",0.044907,0.11271275,0.07887175,-76.657066,3.400737,-0.164174,1.281924,0.37982075,0.605666,0.32974225,0.34003525,0.3218165,0.38340525,0.354326,0.31053125,0.31859575,0.02388425,0.06994325,0.0300045,3.4337025,1.005112,0.7346875,0.59797725,0.53295125,0.49451825,0.486035,0.473634,0.457838,0.45329825,0.4401115,0.43357275,0.4181435,0.0177575,0.04410775,0.0072705,2.37178875,0.62540125,0.44491675,0.36388475,0.275908,0.2454515,0.224243,0.21749925,0.202308,0.1946945,0.180453,0.179109,0.17044325,0.02454825,0.0517125,0.02918675,3.8068585,0.31740875,0.176545,0.139594,0.1034565,0.09205525,0.08821675,0.0881685,0.0807065,0.08126575,0.07603475,0.07489125,0.07047325,0.0451515,65,0.006704,133.5,2,0.15842425,0.099195,0.51114575,0,0,0,0,0,0,1,0
"50%",0.0653725,0.171671,0.083121,-72.2535925,4.505463,0.603841,1.6976605,0.623019,0.8057725,0.535804,0.5313295,0.4723945,0.505482,0.483206,0.436473,0.4558035,0.0378215,0.125909,0.0338145,4.4154395,1.233297,0.905361,0.7356835,0.6184665,0.5582785,0.544278,0.524386,0.5131905,0.5020595,0.4862715,0.481515,0.4587585,0.0216685,0.056591,0.007909,3.250245,0.795242,0.584897,0.487176,0.369351,0.31207,0.2859075,0.28922,0.287518,0.2716125,0.248235,0.2478685,0.2323115,0.027109,0.0627425,0.029878,4.1080775,0.401595,0.2340895,0.1835735,0.140476,0.118232,0.11311,0.1109945,0.106126,0.102646,0.0996445,0.094586,0.088227,0.100719,71,0.078514,150,2,0.295552,0.246229,0.786613,0,0,0,0,0,0,2,0.000854131589592466
"75%",0.08636425,0.25768475,0.0909555,-68.258182,6.3168435,1.26812,2.05029425,0.9163535,1.015897,0.707477,0.7054205,0.65529325,0.6936515,0.6087025,0.58568375,0.576261,0.058959,0.241837,0.0388335,5.43416975,1.51676075,1.10192025,0.938389,0.74805625,0.64064025,0.6122535,0.597392,0.56818275,0.55263325,0.5344815,0.521324,0.5004865,0.02729475,0.076032,0.008644,4.34710475,1.04916175,0.759011,0.6064465,0.47231475,0.40219725,0.38828375,0.3708115,0.35652275,0.367279,0.341931,0.3331645,0.31835775,0.030686,0.07856125,0.03026125,4.48183025,0.49368475,0.292177,0.2529045,0.18595375,0.144612,0.14373125,0.136959,0.13426475,0.133529,0.131637,0.12559875,0.1212825,0.262909,87,0.32339725,180,2,0.51446575,0.4722155,1.237355,1,1,1,0,1,1,2,0.0259843785557546
