"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0287372304256527,0.106329343727624,0.00935013892323499,7.43255850503289,1.99749487308333,0.991329792821532,0.627132165513399,0.444687106863152,0.356481403833532,0.282506062788852,0.272708899296046,0.287131217788125,0.218701970340516,0.228334035335426,0.243382918367283,0.222424086059856,0.0257606771897235,0.101721627036292,0.00904858023728185,1.50690027930898,0.376733756857204,0.259459508967479,0.211297899014073,0.153779378648306,0.111927963813553,0.100342379791457,0.0952265343993434,0.087227684160627,0.0808936479330061,0.070280299332325,0.0738000961619881,0.0805620816105948,0.0103337125055732,0.0337987020345159,0.00161998596792732,1.68977498087496,0.362807066939647,0.24123080064575,0.204900384473123,0.14887922697857,0.137806929361137,0.141360313221604,0.151910684190698,0.169565482019681,0.140661252993863,0.154647228830161,0.158982528712665,0.149110925190432,0.00754241794946402,0.0263148791183823,0.00197394546257517,0.487227145427576,0.131816740623185,0.0867683328699773,0.0749039585547638,0.0567524879893818,0.0408621191574736,0.0393708686510019,0.0366312450273584,0.0454394282807363,0.042706391321624,0.0446891791688584,0.0535887539860603,0.0572163859026345,0.237934641167964,15.5002342339247,0.291773100362186,32.0223524319557,0.329114847605776,0.306189130318789,0.284923534655022,0.573359702347934,0.454900729134208,0.450125610609564,0.497632586307181,0.431166467403328,0.450125610609564,0.465681539769843,0.670633091726462,0.0135289103998397
"mean",0.067847625,0.190078675,0.085329225,-72.24951325,4.9421962,0.507280025,1.68296039,0.61844853,0.8288764,0.50786106,0.548761265,0.47047497,0.5130634,0.492664385,0.461241815,0.457516625,0.043874615,0.15291321,0.035603645,4.50422672,1.28914784,0.93438323,0.77367974,0.643938635,0.575189815,0.549852695,0.535556815,0.515708345,0.50579802,0.487958,0.47977533,0.469619005,0.02357377,0.06542291,0.00829892,3.555770655,0.846603585,0.61403546,0.50363335,0.381153545,0.336453315,0.310908525,0.30949748,0.30440381,0.288995225,0.27684069,0.276552145,0.268094405,0.028767115,0.0685118,0.029468315,4.152019135,0.41513115,0.242802,0.20098161,0.1514864,0.123920075,0.116758585,0.11485587,0.112562165,0.11004727,0.10857976,0.11092848,0.10816986,0.188243075,75.905,0.19707255,157.81,2.085,0.361202275,0.294899515,0.891699925,0.29,0.28,0.44,0.245,0.28,0.315,1.85,0.0106918180944234
"median",0.064056,0.170152,0.082656,-71.674914,4.5075555,0.424741,1.7128075,0.604884,0.832817,0.527107,0.5392085,0.453553,0.5058975,0.4940945,0.4439715,0.453694,0.0380865,0.1256355,0.03369,4.3425105,1.2310635,0.9089695,0.7141905,0.609333,0.5626835,0.5338705,0.5238095,0.5075785,0.4918595,0.477486,0.4754535,0.461605,0.0212055,0.057536,0.008136,3.260534,0.7709805,0.584575,0.470508,0.355834,0.315313,0.283185,0.280485,0.2838265,0.2711755,0.2393075,0.247897,0.2324635,0.027018,0.063141,0.029862,4.083928,0.4037055,0.2384505,0.185677,0.144354,0.118475,0.109329,0.111691,0.103935,0.099483,0.098672,0.094404,0.0880615,0.091551,74,0.0761875,158,2,0.262072,0.23018,0.780083,0,0,0,0,0,0,2,0.000854131589592466
"sum",13.569525,38.015735,17.065845,-14449.90265,988.43924,101.456005,336.592078,123.689706,165.77528,101.572212,109.752253,94.094994,102.61268,98.532877,92.248363,91.503325,8.774923,30.582642,7.120729,900.845344,257.829568,186.876646,154.735948,128.787727,115.037963,109.970539,107.111363,103.141669,101.159604,97.5916,95.955066,93.923801,4.714754,13.084582,1.659784,711.154131,169.320717,122.807092,100.72667,76.230709,67.290663,62.181705,61.899496,60.880762,57.799045,55.368138,55.310429,53.618881,5.753423,13.70236,5.893663,830.403827,83.02623,48.5604,40.196322,30.29728,24.784015,23.351717,22.971174,22.512433,22.009454,21.715952,22.185696,21.633972,37.648615,15181,39.41451,31562,417,72.240455,58.979903,178.339985,58,56,88,49,56,63,370,2.13836361888468
"max",0.172679,0.617722,0.15078,-58.962537,12.069754,3.391531,4.38237,2.046689,1.874023,1.439812,1.47488,1.41682,1.00096,1.290063,1.876704,1.246864,0.142462,0.469152,0.110101,9.939205,2.421803,1.902159,1.390237,1.121843,1.016693,0.825064,0.870778,1.000042,0.839606,0.757566,0.759136,1.001184,0.116201,0.234718,0.02273,10.839143,2.410458,1.611624,1.472541,1.025277,0.91648,1.155625,1.334833,1.729741,1.169477,1.28184,1.181478,1.066014,0.057582,0.186134,0.032048,5.790787,0.958856,0.546511,0.528945,0.353845,0.26485,0.241432,0.233334,0.411033,0.269481,0.2942,0.324606,0.316074,1.556545,113,1.693339,237,3,1.788567,1.737106,3.422899,1,1,1,1,1,1,3,0.0413748812039707
"min",0.010201,0.041266,0.072043,-99.090802,1.438452,-2.03767,0.121321,-1.038761,-0.092158,-0.363235,-0.229156,-0.351568,-0.129524,-0.258025,-0.157277,-0.129515,0.006918,0.021685,0.025297,1.665689,0.614375,0.521084,0.452744,0.343973,0.376085,0.329479,0.322254,0.327975,0.296855,0.297832,0.281625,0.273264,0.010574,0.018333,0.005918,1.103874,0.181559,0.125179,0.079273,0.055489,0.040192,0.048815,0.068473,0.064871,0.057608,0.048231,0.041973,0.040482,0.009829,0.017141,0.00909,1.90852,0.105014,0.048375,0.054015,0.055977,0.050673,0.040493,0.040925,0.035569,0.040276,0.041163,0.032472,0.03727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10%",0.0351062,0.0753595,0.0766404,-80.7809329,2.7124428,-0.7295072,0.8877999,0.1781507,0.3888952,0.1604335,0.2107702,0.1495865,0.2060704,0.2561376,0.1906124,0.1735635,0.0172567,0.0433777,0.028651,2.6631215,0.8439653,0.6231412,0.5300362,0.4626587,0.4470571,0.4415837,0.4283022,0.4276178,0.419336,0.4074657,0.3978971,0.3929307,0.0145998,0.0365358,0.0069578,1.7470987,0.4796674,0.3536064,0.2931153,0.2170257,0.1855401,0.183839,0.165715,0.1557767,0.1432056,0.1406311,0.128142,0.1276845,0.0227424,0.0457822,0.0284773,3.639307,0.2508189,0.1382619,0.1194204,0.082071,0.0760898,0.0695802,0.0713954,0.0662937,0.0653811,0.0625678,0.0638618,0.0614188,0.0267988,57.9,0,121.8,2,0.1019608,0.0230058,0.3489747,0,0,0,0,0,0,1,0
"25%",0.0446775,0.1092065,0.0792105,-76.657066,3.40319625,-0.21607325,1.2998535,0.3792775,0.60207275,0.32949525,0.38410375,0.27665275,0.3797955,0.34554825,0.31370775,0.310331,0.02465025,0.07125725,0.02996475,3.3897665,1.0036165,0.74197825,0.59587375,0.530357,0.49141225,0.47826675,0.4678185,0.4554115,0.45074525,0.440491,0.43029025,0.41741925,0.017178,0.042339,0.0073805,2.38371375,0.603904,0.4428,0.36772325,0.28277525,0.24573125,0.2288025,0.21802025,0.20308175,0.1942475,0.17467525,0.1779545,0.175396,0.02444975,0.052383,0.02921425,3.82685475,0.3192735,0.17923575,0.1429865,0.10779275,0.094413,0.08876825,0.08789625,0.08281525,0.08126575,0.07736325,0.07695,0.0718285,0.04598475,66,0.0060515,136,2,0.1582945,0.087256,0.51158975,0,0,0,0,0,0,1,0
"50%",0.064056,0.170152,0.082656,-71.674914,4.5075555,0.424741,1.7128075,0.604884,0.832817,0.527107,0.5392085,0.453553,0.5058975,0.4940945,0.4439715,0.453694,0.0380865,0.1256355,0.03369,4.3425105,1.2310635,0.9089695,0.7141905,0.609333,0.5626835,0.5338705,0.5238095,0.5075785,0.4918595,0.477486,0.4754535,0.461605,0.0212055,0.057536,0.008136,3.260534,0.7709805,0.584575,0.470508,0.355834,0.315313,0.283185,0.280485,0.2838265,0.2711755,0.2393075,0.247897,0.2324635,0.027018,0.063141,0.029862,4.083928,0.4037055,0.2384505,0.185677,0.144354,0.118475,0.109329,0.111691,0.103935,0.099483,0.098672,0.094404,0.0880615,0.091551,74,0.0761875,158,2,0.262072,0.23018,0.780083,0,0,0,0,0,0,2,0.000854131589592466
"75%",0.08605,0.250637,0.09094275,-67.4520785,6.1922145,1.0605685,2.07357875,0.88443725,1.05131575,0.68813775,0.7091615,0.6644825,0.6683535,0.60843275,0.607528,0.59214575,0.058213,0.22690625,0.0388335,5.48716725,1.54641975,1.0887845,0.92722775,0.747408,0.6389375,0.6122535,0.594797,0.562088,0.54774175,0.526378,0.521324,0.50438975,0.027875,0.07394525,0.00886625,4.36295825,0.987956,0.724902,0.592065,0.45059175,0.41277125,0.36425825,0.370327,0.34725925,0.352519,0.335848,0.32690625,0.32125175,0.030587,0.0784365,0.03025225,4.43619375,0.49173375,0.29134625,0.25121625,0.18520175,0.14318475,0.1450305,0.132739,0.13557225,0.12218225,0.129358,0.1263745,0.12195875,0.230714,87.25,0.27644825,182,2,0.46777625,0.41243875,1.13526175,1,1,1,0,1,1,2,0.0250039569564309
