"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0340564630524975,0.129027567960609,0.00974453770601783,7.33958038885932,2.12067411682128,1.01370937860242,0.595983431023646,0.440988689460043,0.345930279971749,0.301023749598872,0.32686126587322,0.259419362689945,0.230191579522139,0.209888335313225,0.194296073961876,0.181708996347968,0.0333975160441629,0.115183322300856,0.0090387599571297,1.59768224438326,0.431450455580486,0.273471496993221,0.214763222521646,0.14695321026281,0.103375715786079,0.0846404244291491,0.0865439168212575,0.0843772885611783,0.07900430383507,0.0750836265371077,0.0719928788247673,0.0716277900587564,0.0109736866706394,0.0300593001654379,0.00144585842397591,1.86626799074828,0.359689154943272,0.283897579957501,0.206316233484077,0.149312389419307,0.141903156728511,0.14751024287701,0.145870512347011,0.157176551563941,0.170507849657587,0.180925833675964,0.158936640285327,0.16218878831366,0.00781326090136638,0.022348103665545,0.00106066362463347,0.537950356722727,0.145158990525801,0.087747538739137,0.0783684804652331,0.0570469990285111,0.0408554970411038,0.0374628536710673,0.0397083428840443,0.0453811561177439,0.0530621550908545,0.0565515528552285,0.0561802131639824,0.0588058325223562,0.354114501646,14.65818013595,0.447344188008876,29.5601294971279,0.296632063081056,0.385617961630192,0.447661592039607,0.77753876560253,0.457623373830812,0.450448930089221,0.498663834756634,0.43412157106223,0.452910813657838,0.468220855185637,0.68799605100299,0.0139340035513083
"mean",0.0710205051020408,0.206427178571429,0.085681362244898,-73.1601157040816,4.88992929081633,0.660795224489796,1.63514002040816,0.65293925,0.805833020408163,0.515883341836735,0.508854913265306,0.501417765306122,0.525622479591837,0.477897867346939,0.425864535714286,0.45386456122449,0.0479032908163265,0.166636301020408,0.0358161479591837,4.58975025,1.30082135204082,0.937342826530612,0.7820645,0.650773653061224,0.576996153061225,0.556147219387755,0.540128724489796,0.522864454081633,0.512000551020408,0.495859515306122,0.484574066326531,0.464563821428571,0.0242444081632653,0.0646287857142857,0.00798158673469388,3.64065439285714,0.877430285714286,0.643338448979592,0.509426102040816,0.38384937755102,0.328907418367347,0.323370678571429,0.313306,0.30933825,0.310699954081633,0.30026687244898,0.283905219387755,0.268337408163265,0.0288129285714286,0.0658878979591837,0.0295731173469388,4.17811123469388,0.411515632653061,0.237887183673469,0.197563336734694,0.146575005102041,0.120940892857143,0.11590337755102,0.114218443877551,0.113274581632653,0.118004607142857,0.112993576530612,0.108673908163265,0.103985755102041,0.270992515306122,74.4336734693878,0.306939913265306,154.744897959184,2.0969387755102,0.456978336734694,0.436706979591837,1.05216276020408,0.295918367346939,0.280612244897959,0.448979591836735,0.25,0.285714285714286,0.321428571428571,1.88265306122449,0.0108494184072627
"median",0.066037,0.172622,0.083701,-72.8185905,4.496343,0.726355,1.6651505,0.658979,0.77511,0.555621,0.51934,0.483825,0.4978775,0.473752,0.4239765,0.4600155,0.0376295,0.126264,0.033871,4.5028025,1.236576,0.9014705,0.7597645,0.6215985,0.557805,0.551547,0.525273,0.5226125,0.511165,0.4940325,0.4876765,0.457877,0.0220135,0.0562205,0.007739,3.246576,0.8125745,0.5863575,0.497904,0.3761975,0.3037315,0.3003605,0.2938645,0.28772,0.273056,0.253603,0.2454335,0.2323115,0.0272225,0.0626645,0.0298825,4.129809,0.391799,0.2300015,0.1805555,0.1334415,0.1173715,0.1157815,0.1093395,0.109238,0.106601,0.101241,0.094586,0.088745,0.117554,69.5,0.0831135,148,2,0.3569625,0.302663,0.815307,0,0,0,0,0,0,2,0.000854131589592466
"sum",13.920019,40.459727,16.793547,-14339.382678,958.426141,129.515864,320.487444,127.976093,157.943272,101.113135,99.735563,98.277882,103.022006,93.667982,83.469449,88.957454,9.389045,32.660715,7.019965,899.591049,254.960985,183.719194,153.284642,127.551636,113.091246,109.004855,105.86523,102.481433,100.352108,97.188465,94.976517,91.054509,4.751904,12.667242,1.564391,713.568261,171.976336,126.094336,99.847516,75.234478,64.465854,63.380653,61.407976,60.630297,60.897191,58.852307,55.645423,52.594132,5.647334,12.914028,5.796331,818.909802,80.657064,46.625888,38.722414,28.728701,23.704415,22.717062,22.386815,22.201818,23.128903,22.146741,21.300086,20.381208,53.114533,14589,60.160223,30330,411,89.567754,85.594568,206.223901,58,55,88,49,56,63,369,2.12648600782349
"max",0.195412,0.666776,0.15946,-56.297652,11.224703,3.339658,3.196087,2.25271,1.977678,1.372892,1.689284,1.846221,1.048844,1.091516,1.088186,0.953062,0.168399,0.471795,0.11619,15.262381,3.664476,2.04521,1.491016,1.174394,1.013231,0.805382,0.811464,1.098111,0.822595,0.833424,0.749768,0.71106,0.117437,0.211029,0.021227,11.86664,2.259404,2.202609,1.281424,0.829816,1.038158,0.836015,1.102845,1.027611,0.997081,1.112546,0.985174,1.19476,0.063173,0.14846,0.030883,6.536928,1.046212,0.618704,0.439025,0.348109,0.25814,0.215788,0.304417,0.307834,0.296556,0.355242,0.471506,0.415202,1.598533,115,1.762948,230,3,1.67105,1.797765,3.331277,1,1,1,1,1,1,3,0.0413748812039707
"min",0.01621,0.039277,0.070932,-97.510495,0.051474,-2.235707,-0.604609,-0.891138,0.062336,-0.284673,-0.895966,-0.266999,-0.29477,-0.150729,-0.148082,-0.034213,0.008701,0.017434,0.026607,1.833738,0.54449,0.473967,0.449325,0.411391,0.395002,0.348268,0.370098,0.340844,0.344607,0.325899,0.300775,0.314619,0.011944,0.023035,0.005711,1.232061,0.235354,0.154168,0.144097,0.107677,0.08084,0.07619,0.071779,0.065086,0.059393,0.048837,0.050827,0.044347,0.008712,0.016888,0.021999,3.140648,0.108396,0.069729,0.057313,0.043679,0.039299,0.04113,0.040339,0.032399,0.044876,0.038015,0.038908,0.035587,0.003147,52,0,104,2,0,0,0.085826,0,0,0,0,0,0,1,0
"10%",0.034937,0.068784,0.076587,-82.2168965,2.4339155,-0.6974495,0.9307615,0.198108,0.355926,0.0992795,0.1739285,0.1644885,0.2436935,0.2145475,0.206842,0.2402475,0.0181155,0.045536,0.0284815,2.840041,0.811398,0.5999965,0.5338735,0.490654,0.4583065,0.450402,0.4375945,0.426361,0.4189355,0.4061775,0.3971015,0.3822045,0.0152895,0.036521,0.0067865,1.817075,0.4670665,0.3352735,0.255527,0.193907,0.185257,0.167921,0.163793,0.1579635,0.148072,0.146313,0.1308455,0.1148605,0.022382,0.0437255,0.0284155,3.4957665,0.240599,0.136696,0.1107685,0.0816935,0.0716645,0.065342,0.0668535,0.0643935,0.0651315,0.0600825,0.057526,0.055028,0.0230495,58.5,0,120,2,0.072595,0.03813,0.2672805,0,0,0,0,0,0,1,0
"25%",0.04575475,0.11697625,0.07852375,-76.660793,3.3983405,-0.064442,1.24078175,0.38304275,0.61386225,0.3349885,0.314338,0.362973,0.386288,0.358873,0.30217125,0.32468825,0.02354075,0.0691995,0.03007825,3.48506175,1.0175685,0.728896,0.59987275,0.5350745,0.4991055,0.493552,0.48080625,0.462163,0.45561075,0.44000675,0.43712775,0.41832475,0.0184715,0.04450875,0.00714475,2.36275325,0.64529625,0.462971,0.360055,0.26676175,0.24236875,0.223388,0.216175,0.20030725,0.20373075,0.18240925,0.185922,0.1694025,0.02476,0.0515345,0.0291285,3.7809565,0.3145495,0.16750075,0.135062,0.10233125,0.09002,0.087588,0.08828375,0.079592,0.08140125,0.07574625,0.07357925,0.0679475,0.042371,64,0.008456,132,2,0.16010725,0.10243375,0.51025625,0,0,0,0,0,0,1,0
"50%",0.066037,0.172622,0.083701,-72.8185905,4.496343,0.726355,1.6651505,0.658979,0.77511,0.555621,0.51934,0.483825,0.4978775,0.473752,0.4239765,0.4600155,0.0376295,0.126264,0.033871,4.5028025,1.236576,0.9014705,0.7597645,0.6215985,0.557805,0.551547,0.525273,0.5226125,0.511165,0.4940325,0.4876765,0.457877,0.0220135,0.0562205,0.007739,3.246576,0.8125745,0.5863575,0.497904,0.3761975,0.3037315,0.3003605,0.2938645,0.28772,0.273056,0.253603,0.2454335,0.2323115,0.0272225,0.0626645,0.0298825,4.129809,0.391799,0.2300015,0.1805555,0.1334415,0.1173715,0.1157815,0.1093395,0.109238,0.106601,0.101241,0.094586,0.088745,0.117554,69.5,0.0831135,148,2,0.3569625,0.302663,0.815307,0,0,0,0,0,0,2,0.000854131589592466
"75%",0.08636425,0.27285375,0.0909555,-68.72235825,6.39815475,1.35557175,1.99585675,0.94251525,0.9986735,0.71208875,0.6956875,0.6485325,0.70524075,0.6087025,0.5534205,0.54996025,0.06169025,0.2709785,0.03867575,5.3581785,1.491452,1.11145675,0.94238675,0.74805625,0.64064025,0.6121225,0.5980015,0.57122875,0.55612875,0.53906125,0.521133,0.49839375,0.0266785,0.0763605,0.00845675,4.29484,1.09141525,0.79860425,0.6186045,0.48276025,0.39159075,0.39913525,0.37122975,0.37634575,0.37740575,0.34645525,0.33640825,0.31658325,0.03079025,0.07882925,0.03026575,4.519905,0.49368475,0.29274075,0.2529045,0.18633575,0.14592725,0.14274075,0.1398625,0.1333885,0.14120875,0.1339445,0.12512625,0.119524,0.324966,87,0.40193425,180,2,0.5985695,0.57303925,1.3309155,1,1,1,0.25,1,1,2,0.0269914891789602
