"names.att","data.attributes"
"Mean_Acc1298_Mean_Mem40_Centroid","numeric"
"Mean_Acc1298_Mean_Mem40_Rolloff","numeric"
"Mean_Acc1298_Mean_Mem40_Flux","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_0","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_1","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_2","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_3","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_4","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_5","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_6","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_7","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_8","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_9","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_10","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_11","numeric"
"Mean_Acc1298_Mean_Mem40_MFCC_12","numeric"
"Mean_Acc1298_Std_Mem40_Centroid","numeric"
"Mean_Acc1298_Std_Mem40_Rolloff","numeric"
"Mean_Acc1298_Std_Mem40_Flux","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_0","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_1","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_2","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_3","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_4","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_5","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_6","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_7","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_8","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_9","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_10","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_11","numeric"
"Mean_Acc1298_Std_Mem40_MFCC_12","numeric"
"Std_Acc1298_Mean_Mem40_Centroid","numeric"
"Std_Acc1298_Mean_Mem40_Rolloff","numeric"
"Std_Acc1298_Mean_Mem40_Flux","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_0","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_1","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_2","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_3","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_4","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_5","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_6","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_7","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_8","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_9","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_10","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_11","numeric"
"Std_Acc1298_Mean_Mem40_MFCC_12","numeric"
"Std_Acc1298_Std_Mem40_Centroid","numeric"
"Std_Acc1298_Std_Mem40_Rolloff","numeric"
"Std_Acc1298_Std_Mem40_Flux","numeric"
"Std_Acc1298_Std_Mem40_MFCC_0","numeric"
"Std_Acc1298_Std_Mem40_MFCC_1","numeric"
"Std_Acc1298_Std_Mem40_MFCC_2","numeric"
"Std_Acc1298_Std_Mem40_MFCC_3","numeric"
"Std_Acc1298_Std_Mem40_MFCC_4","numeric"
"Std_Acc1298_Std_Mem40_MFCC_5","numeric"
"Std_Acc1298_Std_Mem40_MFCC_6","numeric"
"Std_Acc1298_Std_Mem40_MFCC_7","numeric"
"Std_Acc1298_Std_Mem40_MFCC_8","numeric"
"Std_Acc1298_Std_Mem40_MFCC_9","numeric"
"Std_Acc1298_Std_Mem40_MFCC_10","numeric"
"Std_Acc1298_Std_Mem40_MFCC_11","numeric"
"Std_Acc1298_Std_Mem40_MFCC_12","numeric"
"BH_LowPeakAmp","numeric"
"BH_LowPeakBPM","integer"
"BH_HighPeakAmp","numeric"
"BH_HighPeakBPM","integer"
"BH_HighLowRatio","integer"
"BHSUM1","numeric"
"BHSUM2","numeric"
"BHSUM3","numeric"
"amazed.suprised","{0,1}"
"happy.pleased","{0,1}"
"relaxing.calm","{0,1}"
"quiet.still","{0,1}"
"sad.lonely","{0,1}"
"angry.aggresive","{0,1}"
