"Fold","Index"
1,1
1,2
1,4
1,6
1,8
1,11
1,17
1,18
1,21
1,24
1,25
1,27
1,36
1,37
1,40
1,42
1,44
1,49
1,55
1,56
1,58
1,61
1,62
1,64
1,73
1,74
1,76
1,78
1,81
1,82
1,86
1,87
1,93
1,95
1,99
1,101
1,105
1,109
1,111
1,112
1,116
1,119
1,125
1,126
1,129
1,135
1,138
1,144
1,147
1,148
1,150
1,153
1,155
1,157
1,160
1,162
1,170
1,171
1,177
1,178
1,180
1,181
1,187
1,189
1,194
1,198
1,199
1,200
1,206
1,208
1,213
1,216
1,218
1,219
1,220
1,223
1,227
1,230
1,233
1,234
1,235
1,243
1,245
1,250
1,255
1,256
1,258
1,259
1,262
1,263
1,268
1,271
1,273
1,283
1,284
1,285
1,286
1,289
1,291
1,296
1,297
1,302
1,304
1,309
1,311
1,317
1,321
1,323
1,326
1,329
1,331
1,332
1,337
1,338
1,339
1,348
1,349
1,352
1,354
1,355
1,357
1,360
1,362
1,368
1,369
1,372
1,373
1,379
1,381
1,385
1,391
1,392
1,396
1,398
1,402
1,405
1,409
1,410
1,411
1,414
1,417
1,425
1,426
1,427
1,431
1,433
1,436
1,444
1,445
1,447
1,451
1,455
1,456
1,461
1,462
1,465
1,467
1,471
1,476
1,477
1,480
1,482
1,488
1,491
1,493
1,494
1,500
1,502
1,504
1,506
1,509
1,511
1,515
1,519
1,520
1,525
1,526
1,531
1,535
1,538
1,542
1,546
1,547
1,551
1,552
1,553
1,555
1,559
1,563
1,565
1,570
1,572
1,574
1,576
1,581
1,583
1,588
1,589
1,592
1,593
2,3
2,7
2,9
2,10
2,12
2,22
2,23
2,26
2,28
2,30
2,31
2,32
2,33
2,35
2,38
2,39
2,43
2,45
2,46
2,51
2,54
2,57
2,65
2,67
2,70
2,75
2,79
2,84
2,85
2,89
2,90
2,97
2,98
2,102
2,104
2,108
2,110
2,113
2,118
2,120
2,121
2,127
2,131
2,132
2,136
2,137
2,139
2,141
2,143
2,145
2,152
2,158
2,159
2,163
2,165
2,166
2,172
2,173
2,174
2,179
2,182
2,184
2,190
2,191
2,193
2,195
2,196
2,202
2,205
2,209
2,211
2,215
2,217
2,222
2,224
2,228
2,231
2,236
2,237
2,238
2,240
2,246
2,248
2,251
2,254
2,260
2,264
2,266
2,267
2,269
2,272
2,274
2,275
2,279
2,287
2,288
2,290
2,293
2,294
2,298
2,300
2,308
2,310
2,312
2,316
2,319
2,324
2,325
2,327
2,330
2,333
2,334
2,340
2,343
2,344
2,345
2,351
2,356
2,358
2,361
2,363
2,366
2,367
2,370
2,375
2,378
2,382
2,383
2,387
2,388
2,390
2,394
2,395
2,400
2,401
2,403
2,406
2,413
2,420
2,421
2,422
2,423
2,428
2,429
2,430
2,438
2,442
2,443
2,446
2,450
2,454
2,457
2,459
2,460
2,463
2,470
2,473
2,474
2,479
2,483
2,484
2,486
2,487
2,490
2,495
2,497
2,498
2,501
2,503
2,507
2,512
2,516
2,518
2,522
2,524
2,527
2,529
2,532
2,533
2,540
2,543
2,544
2,545
2,548
2,557
2,558
2,560
2,562
2,568
2,571
2,575
2,577
2,582
2,584
2,585
2,586
3,5
3,13
3,14
3,15
3,16
3,19
3,20
3,29
3,34
3,41
3,47
3,48
3,50
3,52
3,53
3,59
3,60
3,63
3,66
3,68
3,69
3,71
3,72
3,77
3,80
3,83
3,88
3,91
3,92
3,94
3,96
3,100
3,103
3,106
3,107
3,114
3,115
3,117
3,122
3,123
3,124
3,128
3,130
3,133
3,134
3,140
3,142
3,146
3,149
3,151
3,154
3,156
3,161
3,164
3,167
3,168
3,169
3,175
3,176
3,183
3,185
3,186
3,188
3,192
3,197
3,201
3,203
3,204
3,207
3,210
3,212
3,214
3,221
3,225
3,226
3,229
3,232
3,239
3,241
3,242
3,244
3,247
3,249
3,252
3,253
3,257
3,261
3,265
3,270
3,276
3,277
3,278
3,280
3,281
3,282
3,292
3,295
3,299
3,301
3,303
3,305
3,306
3,307
3,313
3,314
3,315
3,318
3,320
3,322
3,328
3,335
3,336
3,341
3,342
3,346
3,347
3,350
3,353
3,359
3,364
3,365
3,371
3,374
3,376
3,377
3,380
3,384
3,386
3,389
3,393
3,397
3,399
3,404
3,407
3,408
3,412
3,415
3,416
3,418
3,419
3,424
3,432
3,434
3,435
3,437
3,439
3,440
3,441
3,448
3,449
3,452
3,453
3,458
3,464
3,466
3,468
3,469
3,472
3,475
3,478
3,481
3,485
3,489
3,492
3,496
3,499
3,505
3,508
3,510
3,513
3,514
3,517
3,521
3,523
3,528
3,530
3,534
3,536
3,537
3,539
3,541
3,549
3,550
3,554
3,556
3,561
3,564
3,566
3,567
3,569
3,573
3,578
3,579
3,580
3,587
3,590
3,591
