"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0311131267580879,0.114816260894691,0.00879032408775303,7.55312031036372,2.08123726932612,1.04376519963023,0.60218107999263,0.434591192902728,0.347992651206258,0.302191325827006,0.306445788639875,0.265735415053777,0.239475017216228,0.225612058826419,0.225758900938117,0.203417919931196,0.0289513073916846,0.108750156124984,0.00801866696351377,1.58010565308609,0.401199063689176,0.280732645957292,0.220245378423896,0.153488367073459,0.107251275467501,0.0942278000436069,0.0884317675476492,0.0790834606250942,0.079105854320206,0.0704917924279481,0.0732720730164253,0.079674729482952,0.0116290355069288,0.033338175992465,0.00143168466134042,1.82688564709579,0.363887477466666,0.254181619483694,0.193181593082732,0.142452373811221,0.128330530449832,0.128948552300858,0.134822730663587,0.148372471583905,0.148109510391104,0.159794990792759,0.150444581322053,0.155044936164876,0.00712482120984618,0.0241443036716203,0.00156780609161692,0.526881126347648,0.13107442132861,0.0865286407868653,0.0775668320547782,0.0576606067690079,0.040880266181647,0.0378082640108895,0.0384623000906426,0.0440781326601727,0.0452552693576859,0.0486221242480456,0.0529257839874086,0.0606099631611286,0.292795535452761,14.5831914362648,0.36506542270074,29.958924309703,0.319994859561617,0.34270998201818,0.361723973385442,0.652957576333351,0.454863697277486,0.447558290980896,0.497929917676349,0.433927120164894,0.45128985467288,0.465682834635137,0.671932978730714,0.0143652981308402
"mean",0.0693591012658228,0.196016541772152,0.0853805518987342,-73.0651365367089,4.97475515189873,0.577637237974684,1.71861696455696,0.635330572151899,0.831142103797468,0.512634174683544,0.522882344303797,0.46495064556962,0.51019537721519,0.485766182278481,0.444204015189873,0.452116997468354,0.0455245974683544,0.157790739240506,0.0355245569620253,4.58440265316456,1.28712106582278,0.944623779746835,0.780449227848101,0.646501443037975,0.575032088607595,0.551747569620253,0.535462007594937,0.515699551898734,0.506039146835443,0.490980387341772,0.481944002531646,0.468904303797468,0.0241350303797468,0.0646714,0.00810080506329114,3.6623506556962,0.857052002531646,0.624461329113924,0.495983159493671,0.379653369620253,0.327323326582278,0.311219053164557,0.305598359493671,0.299907637974684,0.294811329113924,0.287960605063291,0.278186321518987,0.270633929113924,0.028884782278481,0.0674310835443038,0.0295159088607595,4.15813578734177,0.404723321518987,0.240126870886076,0.19777444556962,0.149706283544304,0.121733037974684,0.115703025316456,0.114613346835443,0.112106043037975,0.111941658227848,0.110179802531646,0.109580483544304,0.107581050632911,0.228385435443038,74.3670886075949,0.242506610126582,154.969620253165,2.09620253164557,0.418977288607595,0.342796891139241,0.957177792405063,0.291139240506329,0.275949367088608,0.448101265822785,0.250632911392405,0.283544303797468,0.316455696202532,1.86582278481013,0.0114200717307882
"median",0.065836,0.171429,0.083263,-72.913644,4.692289,0.538926,1.737811,0.618657,0.826405,0.539595,0.519595,0.452236,0.505428,0.478292,0.442181,0.456126,0.038121,0.125334,0.033805,4.422413,1.246646,0.926772,0.735838,0.625947,0.560018,0.540076,0.526673,0.512391,0.498571,0.484658,0.476034,0.462062,0.021495,0.055165,0.007868,3.27469,0.784921,0.586734,0.474632,0.362311,0.307567,0.290367,0.285753,0.280755,0.264566,0.249452,0.245819,0.233023,0.027367,0.062666,0.029839,4.082622,0.390042,0.236297,0.183771,0.142201,0.118444,0.111852,0.11039,0.105923,0.10303,0.101798,0.097475,0.088366,0.101503,71,0.07547,150,2,0.330602,0.234702,0.802369,0,0,0,0,0,0,2,0.00086843264318337
"sum",27.396845,77.426534,33.725318,-28860.728932,1965.028285,228.166709,678.853701,250.955576,328.301131,202.490499,206.538526,183.655505,201.527174,191.877642,175.460586,178.586214,17.982216,62.327342,14.0322,1810.839048,508.412821,373.126393,308.277445,255.36807,227.137675,217.94029,211.507493,203.701323,199.885463,193.937253,190.367881,185.2172,9.533337,25.545203,3.199818,1446.628509,338.535541,246.662225,195.913348,149.963081,129.292714,122.931526,120.711352,118.463517,116.450475,113.744439,109.883597,106.900402,11.409489,26.635278,11.658784,1642.463636,159.865712,94.850114,78.120906,59.133982,48.08455,45.702695,45.272272,44.281887,44.216955,43.521022,43.284291,42.494515,90.212247,29375,95.790111,61213,828,165.496029,135.404772,378.085228,115,109,177,99,112,125,737,4.51092833366136
"max",0.195412,0.666776,0.15946,-56.297652,11.853471,3.910873,4.38237,2.25271,1.977678,1.484489,1.72242,1.564683,1.056599,1.290063,1.876704,1.168054,0.168399,0.471795,0.11619,15.262381,3.664476,2.04521,1.491016,1.174394,1.016693,0.805382,0.829619,1.000042,0.842697,0.852488,0.772496,1.001184,0.117437,0.234718,0.021227,11.86664,2.925425,1.734866,1.266604,0.99839,1.012256,0.790284,1.229979,1.729741,0.997081,1.112546,1.181478,1.19476,0.063173,0.186134,0.032048,6.536928,1.046212,0.546511,0.528945,0.353845,0.26485,0.227349,0.304417,0.411033,0.296556,0.355242,0.471506,0.415202,1.598533,115,1.762948,237,3,1.795128,1.797765,3.331277,1,1,1,1,1,1,3,0.0407647185691214
"min",0.012104,0.038729,0.070932,-98.890602,0.390556,-2.235707,-0.154632,-1.143864,-0.133312,-0.444623,-0.895966,-0.266999,-0.29477,-0.186371,-0.394065,-0.0792,0.006918,0.017434,0.025297,1.665689,0.54449,0.466935,0.438436,0.343973,0.376085,0.329479,0.322254,0.327975,0.296855,0.297832,0.281625,0.273264,0.010574,0.020695,0.005696,1.103874,0.181559,0.107836,0.079273,0.055489,0.040192,0.048815,0.077856,0.055301,0.057608,0.048231,0.041973,0.033739,0.009829,0.015678,0.00909,1.90852,0.105014,0.053278,0.057313,0.03448,0.039299,0.02421,0.036153,0.041669,0.035843,0.038657,0.032472,0.031945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10%",0.034735,0.0690946,0.0762922,-82.227672,2.4803944,-0.760861,0.993339,0.184202,0.3919912,0.1013846,0.1664024,0.1501476,0.2106684,0.2052212,0.181604,0.1854582,0.0170788,0.042577,0.0283628,2.6589654,0.8110972,0.596439,0.5283098,0.4728764,0.4551174,0.4447506,0.4285464,0.4207926,0.4152728,0.4098608,0.4003492,0.3835466,0.0147508,0.0353064,0.0068354,1.7743594,0.4791394,0.3450746,0.2679668,0.2160894,0.1888168,0.1775322,0.1659312,0.1642874,0.1463508,0.1426664,0.1365144,0.1225328,0.0228826,0.0447236,0.0284416,3.5786234,0.2474584,0.1368216,0.1095538,0.080554,0.0743886,0.0669242,0.0706628,0.0659448,0.065043,0.0627016,0.0619478,0.0582442,0.0270298,57.4,0,120,2,0.0956514,0.027489,0.3207298,0,0,0,0,0,0,1,0
"25%",0.0449635,0.108946,0.0793235,-77.3143035,3.3979235,-0.167319,1.320444,0.3717975,0.601016,0.325092,0.349653,0.2941135,0.3796055,0.3450585,0.3047375,0.3106145,0.0229515,0.0655865,0.029912,3.4804215,1.0033485,0.724289,0.5860955,0.5219145,0.4915265,0.4789375,0.474722,0.455061,0.4487265,0.4401665,0.430797,0.418325,0.0173535,0.04261,0.007279,2.3708255,0.6113655,0.441902,0.361758,0.284774,0.2423055,0.223146,0.2119925,0.203735,0.194766,0.1873275,0.18285,0.172141,0.024829,0.051889,0.0290505,3.7691825,0.312166,0.172906,0.137803,0.1039325,0.090777,0.089326,0.0875865,0.082403,0.0816285,0.079423,0.0765405,0.0726845,0.0522565,64,0.0078755,134,2,0.183515,0.0881185,0.511693,0,0,0,0,0,0,1,0
"50%",0.065836,0.171429,0.083263,-72.913644,4.692289,0.538926,1.737811,0.618657,0.826405,0.539595,0.519595,0.452236,0.505428,0.478292,0.442181,0.456126,0.038121,0.125334,0.033805,4.422413,1.246646,0.926772,0.735838,0.625947,0.560018,0.540076,0.526673,0.512391,0.498571,0.484658,0.476034,0.462062,0.021495,0.055165,0.007868,3.27469,0.784921,0.586734,0.474632,0.362311,0.307567,0.290367,0.285753,0.280755,0.264566,0.249452,0.245819,0.233023,0.027367,0.062666,0.029839,4.082622,0.390042,0.236297,0.183771,0.142201,0.118444,0.111852,0.11039,0.105923,0.10303,0.101798,0.097475,0.088366,0.101503,71,0.07547,150,2,0.330602,0.234702,0.802369,0,0,0,0,0,0,2,0.00086843264318337
"75%",0.085938,0.2620925,0.0908785,-68.541009,6.3990635,1.307225,2.0834855,0.8947105,1.048976,0.7037855,0.710605,0.6384855,0.680334,0.6154175,0.5876015,0.5830805,0.05947,0.243746,0.0390525,5.591336,1.5163965,1.1087895,0.945368,0.7481225,0.641269,0.613917,0.594215,0.5647855,0.5484255,0.53246,0.5205305,0.5034375,0.027022,0.0740645,0.0086145,4.482735,1.053492,0.737179,0.598412,0.4658055,0.3939845,0.3664225,0.367109,0.352967,0.363268,0.341692,0.331281,0.3249915,0.0306375,0.079797,0.0302595,4.4615255,0.487186,0.2930295,0.248091,0.1863365,0.145636,0.1390585,0.1357815,0.131516,0.1300055,0.128741,0.1228605,0.1199755,0.274915,84,0.3033035,178.5,2,0.533427,0.4544955,1.2560125,1,1,1,0.5,1,1,2,0.0286766149760971
