"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0287890674332293,0.109831201849416,0.00767805621491026,7.25303930698753,1.98325534770162,1.05512809428425,0.636498490786173,0.430911847994598,0.348341969457526,0.301970980093597,0.286008185277218,0.245177820755384,0.229089564686756,0.212831190534486,0.217746370036688,0.200814951115347,0.0283186116590391,0.107328622261144,0.00664718482828161,1.46831013146019,0.390314729719968,0.285867105471611,0.226883117493946,0.151689215899438,0.104102792890526,0.0966161926734702,0.087793241429306,0.0697753623074135,0.0639641395388864,0.0566531625844252,0.0656119170383628,0.0640885664551211,0.0114665510520917,0.0375028281143267,0.00111258291104006,1.73209681059643,0.319858475993901,0.232487100714217,0.197620607595043,0.132893311584083,0.123529214036408,0.13045166613414,0.126329581038594,0.113473759509706,0.129672487076267,0.137161260636819,0.117739068127285,0.126348354024914,0.0071255226232799,0.0263312277141636,0.000850198993946895,0.485902823863352,0.131006506203879,0.0852944868207817,0.075386752756977,0.0589005140026465,0.0390632035794763,0.0387845279776324,0.0380042996996349,0.0357044005110445,0.0377769167450392,0.0375964023737325,0.0460300916139833,0.0518054040370642,0.28618022470114,14.3750006966598,0.353246504641075,30.3158762189116,0.327200935570357,0.355187848505963,0.346987873293723,0.636840494903107,0.456259905727116,0.449038579409478,0.499191778711898,0.432638800671394,0.449038579409478,0.466951151558549,0.670577668182644,0.0155748752116366
"mean",0.067015101010101,0.192723424242424,0.0855040656565657,-72.9668376868687,4.93767323737374,0.576283681818182,1.736095,0.63616748989899,0.831218555555556,0.517909166666667,0.519697106060606,0.468017964646465,0.504025338383838,0.479417055555556,0.441541757575758,0.467604494949495,0.0451956919191919,0.160628328282828,0.0355591262626263,4.60467203030303,1.30850393939394,0.942637323232323,0.781601707070707,0.642438191919192,0.570355191919192,0.551393727272727,0.532973555555556,0.508511106060606,0.495446095959596,0.482757707070707,0.475187484848485,0.45872304040404,0.0236316515151515,0.0668293838383838,0.00800686868686869,3.55668930808081,0.848090106060606,0.606339070707071,0.492972813131313,0.375244601010101,0.32274045959596,0.312185545454545,0.30454954040404,0.288070358585859,0.283579803030303,0.27536296969697,0.262328924242424,0.254831287878788,0.0289979292929293,0.0690302222222222,0.0295710252525253,4.16484889393939,0.409077171717172,0.233827585858586,0.194178954545455,0.147207075757576,0.120187565656566,0.115268419191919,0.112081015151515,0.107491388888889,0.106823858585859,0.10250245959596,0.103819575757576,0.101670909090909,0.233647707070707,74.5808080808081,0.249999898989899,156.767676767677,2.12121212121212,0.437566065656566,0.32652952020202,0.97757304040404,0.292929292929293,0.277777777777778,0.454545454545455,0.247474747474747,0.277777777777778,0.318181818181818,1.86868686868687,0.0124682901529174
"median",0.0634845,0.1673075,0.0833655,-73.0906245,4.7999745,0.49918,1.753094,0.6187475,0.83546,0.5212785,0.52428,0.464855,0.517811,0.4688235,0.433276,0.4709945,0.0376195,0.129419,0.0342625,4.5168175,1.292004,0.9333325,0.7597645,0.6184665,0.5496675,0.5345445,0.5169225,0.508443,0.4972505,0.482669,0.47553,0.4587585,0.0207205,0.0577855,0.007774,3.249543,0.813437,0.5813545,0.453527,0.365134,0.303932,0.2858615,0.2835225,0.278069,0.260151,0.2470755,0.248643,0.2281295,0.027541,0.0635065,0.02972,4.1102355,0.38838,0.2300245,0.1714465,0.1420695,0.118395,0.1102565,0.1077585,0.105906,0.101641,0.0959205,0.0949435,0.087192,0.1029605,71,0.097961,150,2,0.3524095,0.233327,0.8220965,0,0,0,0,0,0,2,0.000854131589592577
"sum",13.26899,38.159238,16.929805,-14447.433862,977.659301,114.104169,343.74681,125.961163,164.581274,102.546015,102.900027,92.667557,99.797017,94.924577,87.425268,92.58569,8.948747,31.804409,7.040707,911.725062,259.08378,186.64219,154.757138,127.202762,112.930328,109.175958,105.528764,100.685199,98.098327,95.586026,94.087122,90.827162,4.679067,13.232218,1.58536,704.224483,167.921841,120.055136,97.608617,74.298431,63.902611,61.812738,60.300809,57.037931,56.148801,54.521868,51.941127,50.456595,5.74159,13.667984,5.855063,824.640081,80.99728,46.297862,38.447433,29.147001,23.797138,22.823147,22.192041,21.283295,21.151124,20.295487,20.556276,20.13084,46.262246,14767,49.49998,31040,420,86.638081,64.652845,193.559462,58,55,90,49,55,63,370,2.46872145027764
"max",0.188637,0.595317,0.112005,-56.806065,11.224703,3.339658,4.38237,2.25271,1.977678,1.439812,1.47488,1.223514,1.008705,1.006386,1.021535,1.092881,0.159072,0.464514,0.066539,8.006751,2.42673,1.902159,1.491016,1.174394,0.870482,0.79854,0.770836,0.680024,0.699287,0.669712,0.759374,0.796306,0.116201,0.234718,0.012939,11.86664,2.410458,1.611624,1.245184,0.790234,0.91648,0.744061,0.888374,0.616038,0.850115,0.798784,0.825054,0.830025,0.063173,0.186134,0.030883,5.790787,1.046212,0.546511,0.400358,0.348109,0.239827,0.227349,0.304417,0.209688,0.249614,0.24497,0.337381,0.338841,1.513175,115,1.762948,237,3,1.795128,1.797765,3.328744,1,1,1,1,1,1,3,0.044491642251281
"min",0.012104,0.04038,0.072043,-98.890602,0.697836,-2.235707,-0.154632,-1.143864,0.062336,-0.444623,-0.385878,-0.266999,-0.274967,-0.149804,-0.394065,-0.0792,0.006918,0.017434,0.026885,1.665689,0.621623,0.466935,0.438436,0.375337,0.376085,0.329479,0.322254,0.327975,0.296855,0.297832,0.281625,0.273264,0.010574,0.020695,0.005696,1.103874,0.259285,0.107836,0.125928,0.057821,0.090875,0.05288,0.077856,0.055301,0.059252,0.04952,0.062901,0.033739,0.014882,0.015678,0.024893,3.275213,0.123552,0.053278,0.057313,0.03448,0.039299,0.02421,0.036153,0.041669,0.035843,0.038657,0.035496,0.031945,0.005956,52,0,104,2,0.019594,0,0.085826,0,0,0,0,0,0,1,0
"10%",0.0343359,0.0688432,0.0767752,-81.3857405,2.4550706,-0.8003716,1.0224886,0.195438,0.3859792,0.1227325,0.1841814,0.1622996,0.2129943,0.2059106,0.183446,0.1938174,0.0178231,0.0450916,0.0288632,2.6745441,0.8100586,0.5788113,0.5249314,0.4798834,0.4554681,0.4404563,0.4281986,0.4184078,0.4141502,0.4076858,0.3977933,0.3809174,0.0143417,0.0358691,0.0068329,1.7463969,0.4922614,0.3410653,0.2738503,0.2159919,0.1803994,0.1772097,0.1686812,0.1614414,0.141341,0.1439012,0.1378353,0.1218839,0.0234689,0.0448548,0.0284765,3.5726557,0.2504483,0.1374057,0.1086239,0.0787887,0.0733972,0.0665099,0.0702887,0.0647077,0.0651226,0.0617238,0.061785,0.0575153,0.0330413,57,0,120,2,0.1029055,0.027528,0.3326372,0,0,0,0,0,0,1,0
"25%",0.04516825,0.11616725,0.07983725,-77.07075975,3.469276,-0.1216225,1.34148775,0.35661475,0.59628575,0.33629175,0.34024875,0.310535,0.35386575,0.33499175,0.30670875,0.327911,0.02351825,0.06763275,0.0300585,3.4807615,1.0119855,0.7033585,0.5767975,0.5166495,0.4919285,0.4762575,0.47451575,0.455991,0.44539675,0.44443925,0.43162475,0.420099,0.01696475,0.04171225,0.0072285,2.34871025,0.6201355,0.4320895,0.35228575,0.28522575,0.238724,0.21871475,0.213013,0.203429,0.195696,0.18569425,0.18103,0.171991,0.02500025,0.051211,0.02901475,3.83627225,0.327466,0.168185,0.136437,0.10019225,0.09276625,0.089211,0.08331725,0.08251575,0.08133075,0.078311,0.0740325,0.0730625,0.06040075,65,0.00970225,134,2,0.19323725,0.08921,0.546093,0,0,0,0,0,0,1,0
"50%",0.0634845,0.1673075,0.0833655,-73.0906245,4.7999745,0.49918,1.753094,0.6187475,0.83546,0.5212785,0.52428,0.464855,0.517811,0.4688235,0.433276,0.4709945,0.0376195,0.129419,0.0342625,4.5168175,1.292004,0.9333325,0.7597645,0.6184665,0.5496675,0.5345445,0.5169225,0.508443,0.4972505,0.482669,0.47553,0.4587585,0.0207205,0.0577855,0.007774,3.249543,0.813437,0.5813545,0.453527,0.365134,0.303932,0.2858615,0.2835225,0.278069,0.260151,0.2470755,0.248643,0.2281295,0.027541,0.0635065,0.02972,4.1102355,0.38838,0.2300245,0.1714465,0.1420695,0.118395,0.1102565,0.1077585,0.105906,0.101641,0.0959205,0.0949435,0.087192,0.1029605,71,0.097961,150,2,0.3524095,0.233327,0.8220965,0,0,0,0,0,0,2,0.000854131589592577
"75%",0.08218875,0.254392,0.0913355,-68.595926,6.15874775,1.335434,2.098397,0.903853,1.035527,0.71362575,0.7056575,0.60965775,0.65121575,0.60128175,0.5846755,0.59136775,0.05906875,0.2480305,0.039596,5.5541865,1.54897925,1.114564,0.93919325,0.7393155,0.638226,0.62067625,0.59320525,0.55688425,0.53737825,0.5199895,0.511103,0.4968065,0.0268925,0.07448075,0.0086575,4.3336035,1.0568075,0.72199575,0.606935,0.45012575,0.38854925,0.36890425,0.3700385,0.3490625,0.356578,0.32245075,0.3176615,0.3175395,0.030615,0.0802115,0.03023825,4.458069,0.48807025,0.2848905,0.24694425,0.18449875,0.1426,0.14130075,0.13199925,0.12863175,0.1232485,0.121063,0.1190265,0.11439575,0.2978945,84,0.323739,180,2,0.5604015,0.4359085,1.28903325,1,1,1,0,1,1,2,0.0295691531399802
