"","Mean_Acc1298_Mean_Mem40_Centroid","Mean_Acc1298_Mean_Mem40_Rolloff","Mean_Acc1298_Mean_Mem40_Flux","Mean_Acc1298_Mean_Mem40_MFCC_0","Mean_Acc1298_Mean_Mem40_MFCC_1","Mean_Acc1298_Mean_Mem40_MFCC_2","Mean_Acc1298_Mean_Mem40_MFCC_3","Mean_Acc1298_Mean_Mem40_MFCC_4","Mean_Acc1298_Mean_Mem40_MFCC_5","Mean_Acc1298_Mean_Mem40_MFCC_6","Mean_Acc1298_Mean_Mem40_MFCC_7","Mean_Acc1298_Mean_Mem40_MFCC_8","Mean_Acc1298_Mean_Mem40_MFCC_9","Mean_Acc1298_Mean_Mem40_MFCC_10","Mean_Acc1298_Mean_Mem40_MFCC_11","Mean_Acc1298_Mean_Mem40_MFCC_12","Mean_Acc1298_Std_Mem40_Centroid","Mean_Acc1298_Std_Mem40_Rolloff","Mean_Acc1298_Std_Mem40_Flux","Mean_Acc1298_Std_Mem40_MFCC_0","Mean_Acc1298_Std_Mem40_MFCC_1","Mean_Acc1298_Std_Mem40_MFCC_2","Mean_Acc1298_Std_Mem40_MFCC_3","Mean_Acc1298_Std_Mem40_MFCC_4","Mean_Acc1298_Std_Mem40_MFCC_5","Mean_Acc1298_Std_Mem40_MFCC_6","Mean_Acc1298_Std_Mem40_MFCC_7","Mean_Acc1298_Std_Mem40_MFCC_8","Mean_Acc1298_Std_Mem40_MFCC_9","Mean_Acc1298_Std_Mem40_MFCC_10","Mean_Acc1298_Std_Mem40_MFCC_11","Mean_Acc1298_Std_Mem40_MFCC_12","Std_Acc1298_Mean_Mem40_Centroid","Std_Acc1298_Mean_Mem40_Rolloff","Std_Acc1298_Mean_Mem40_Flux","Std_Acc1298_Mean_Mem40_MFCC_0","Std_Acc1298_Mean_Mem40_MFCC_1","Std_Acc1298_Mean_Mem40_MFCC_2","Std_Acc1298_Mean_Mem40_MFCC_3","Std_Acc1298_Mean_Mem40_MFCC_4","Std_Acc1298_Mean_Mem40_MFCC_5","Std_Acc1298_Mean_Mem40_MFCC_6","Std_Acc1298_Mean_Mem40_MFCC_7","Std_Acc1298_Mean_Mem40_MFCC_8","Std_Acc1298_Mean_Mem40_MFCC_9","Std_Acc1298_Mean_Mem40_MFCC_10","Std_Acc1298_Mean_Mem40_MFCC_11","Std_Acc1298_Mean_Mem40_MFCC_12","Std_Acc1298_Std_Mem40_Centroid","Std_Acc1298_Std_Mem40_Rolloff","Std_Acc1298_Std_Mem40_Flux","Std_Acc1298_Std_Mem40_MFCC_0","Std_Acc1298_Std_Mem40_MFCC_1","Std_Acc1298_Std_Mem40_MFCC_2","Std_Acc1298_Std_Mem40_MFCC_3","Std_Acc1298_Std_Mem40_MFCC_4","Std_Acc1298_Std_Mem40_MFCC_5","Std_Acc1298_Std_Mem40_MFCC_6","Std_Acc1298_Std_Mem40_MFCC_7","Std_Acc1298_Std_Mem40_MFCC_8","Std_Acc1298_Std_Mem40_MFCC_9","Std_Acc1298_Std_Mem40_MFCC_10","Std_Acc1298_Std_Mem40_MFCC_11","Std_Acc1298_Std_Mem40_MFCC_12","BH_LowPeakAmp","BH_LowPeakBPM","BH_HighPeakAmp","BH_HighPeakBPM","BH_HighLowRatio","BHSUM1","BHSUM2","BHSUM3","amazed.suprised","happy.pleased","relaxing.calm","quiet.still","sad.lonely","angry.aggresive",".labelcount",".SCUMBLE"
"sd",0.0317291771146833,0.123270141175092,0.0101256681364215,7.65319129466003,2.05804405211722,0.963967746194054,0.613994830318481,0.476858423316623,0.406699277063579,0.305994370664632,0.299231381019857,0.314091770836171,0.253938770944441,0.20785963645939,0.211713016814574,0.197687634298956,0.0312400541731201,0.109321273668633,0.00955469423405566,1.52587444178991,0.406867293343106,0.249726050471392,0.199534499489833,0.156229728967889,0.107895821409878,0.0942335596362099,0.0946063388722915,0.0914501373441157,0.0853093489736721,0.0772848864782176,0.0770937539817156,0.0740128141813479,0.00879715246132408,0.0265362546551067,0.00159943506261111,1.77267638388434,0.38209129527235,0.267614106944655,0.227484547691539,0.170904313101296,0.150591802384577,0.156060574866901,0.164723566303152,0.177814321794225,0.163600229619037,0.167485481509119,0.163413013300234,0.179204205953899,0.00791827385715576,0.0228265046653702,0.00100141234833931,0.472480161420602,0.144414384838027,0.0855707849646554,0.0822316435533558,0.066165635980533,0.0427724946532467,0.0387974232435183,0.0381084913575304,0.046117727386551,0.0522843217368943,0.0515224424523723,0.0556910596639081,0.0569262770342843,0.302614006679378,14.6993245781878,0.370164522258788,29.5738780763046,0.308695694562226,0.333717169869597,0.363040412618612,0.651184996215021,0.456259905727116,0.453922045963535,0.497571397691473,0.432638800671394,0.451515306369979,0.468896161987444,0.675320695930799,0.0129565064044752
"mean",0.0692104090909091,0.194167181818182,0.0863212828282828,-72.864749540404,4.98800164646465,0.651785181818182,1.64676220707071,0.631813929292929,0.839594848484848,0.498934050505051,0.572506292929293,0.48361546969697,0.506980242424242,0.461490752525253,0.429328484848485,0.43184947979798,0.046213404040404,0.156906267676768,0.0362753585858586,4.55558912626263,1.32212002020202,0.93501497979798,0.773460404040404,0.657412126262626,0.582217767676768,0.553991454545455,0.538144232323232,0.524041964646465,0.51593452020202,0.494700262626263,0.487093595959596,0.47117252020202,0.0235280606060606,0.0604764393939394,0.00820962626262626,3.60126863131313,0.859895722222222,0.622741217171717,0.505596641414141,0.397190767676768,0.340983106060606,0.317723828282828,0.312202025252525,0.314448434343434,0.307317934343434,0.286203272727273,0.280724974747475,0.274493106060606,0.0289319646464646,0.064499797979798,0.0295496919191919,4.12537083333333,0.415200191919192,0.237961611111111,0.200209893939394,0.153766888888889,0.125859636363636,0.115023883838384,0.113317964646465,0.115244843434343,0.117490651515152,0.109612383838384,0.110465661616162,0.106181590909091,0.233246328282828,74.6363636363636,0.258522934343434,155.707070707071,2.10606060606061,0.400895767676768,0.37904751010101,0.965348712121212,0.292929292929293,0.287878787878788,0.439393939393939,0.247474747474747,0.282828282828283,0.323232323232323,1.87373737373737,0.0100913548714065
"median",0.064701,0.1638155,0.084162,-71.906419,4.562739,0.661412,1.709751,0.631487,0.8030255,0.5220285,0.5375545,0.485371,0.48968,0.497647,0.4164725,0.422002,0.0365895,0.1248045,0.0343835,4.4949395,1.275432,0.9307745,0.7327625,0.623883,0.5568325,0.543324,0.5198035,0.515169,0.5071445,0.4862885,0.481952,0.461924,0.02133,0.053731,0.00789,3.222316,0.769253,0.570359,0.4595175,0.3765605,0.321235,0.2801425,0.286121,0.283448,0.275245,0.2518265,0.245758,0.2336535,0.027014,0.0620435,0.029782,4.0774275,0.4029265,0.2280845,0.185263,0.140763,0.1221135,0.1111575,0.1064255,0.105835,0.1077835,0.1000105,0.0947615,0.091392,0.1158125,70,0.081376,148,2,0.287575,0.258577,0.820873,0,0,0,0,0,0,2,0.00121008447686444
"sum",13.703661,38.445102,17.091614,-14427.220409,987.624326,129.053466,326.058917,125.099158,166.23978,98.788942,113.356246,95.755863,100.382088,91.375169,85.00704,85.506197,9.150254,31.067441,7.182521,902.006647,261.779764,185.132966,153.14516,130.167601,115.279118,109.690308,106.552558,103.760309,102.155035,97.950652,96.444532,93.292159,4.658556,11.974335,1.625506,713.051189,170.259353,123.302761,100.108135,78.643772,67.514655,62.909318,61.816001,62.26079,60.848951,56.668248,55.583545,54.349635,5.728529,12.77096,5.850839,816.823425,82.209638,47.116399,39.641559,30.445844,24.920208,22.774729,22.436957,22.818479,23.263149,21.703252,21.872201,21.023955,46.182773,14778,51.187541,30830,417,79.377362,75.051407,191.139045,58,57,87,49,56,64,371,1.99808826453849
"max",0.177109,0.698277,0.15078,-58.205758,12.069754,3.057155,3.290331,1.569606,2.358098,1.193521,1.689284,1.846221,1.064865,0.976987,1.088186,1.246864,0.159724,0.469152,0.110101,11.216391,2.664195,1.824233,1.373682,1.321038,1.013231,0.825064,0.870778,1.098111,0.757003,0.757566,0.759136,0.692749,0.069687,0.189653,0.02273,13.447154,2.259404,2.202609,1.472541,1.025277,1.038158,1.155625,1.334833,1.075426,1.169477,1.28184,1.16005,1.809666,0.062547,0.159344,0.031006,5.589574,0.956006,0.618704,0.543927,0.415798,0.271085,0.241432,0.224293,0.276417,0.292325,0.308444,0.324606,0.399116,1.556545,113,1.693339,228,3,1.657962,1.737106,3.422899,1,1,1,1,1,1,3,0.0398286268879161
"min",0.010201,0.038286,0.071607,-99.090802,0.051474,-2.277307,-0.604609,-1.038761,-0.237114,-0.349534,-0.338139,-0.451919,-0.129639,-0.258025,-0.157277,-0.129515,0.008608,0.021685,0.026316,1.682058,0.633501,0.426085,0.436355,0.398908,0.404043,0.348268,0.360535,0.339832,0.344607,0.337297,0.311212,0.314619,0.012551,0.018333,0.005711,1.148407,0.254721,0.154168,0.124533,0.068828,0.073824,0.07619,0.068473,0.066722,0.059393,0.048837,0.050827,0.044679,0.008712,0.017141,0.02441,3.140648,0.108396,0.048375,0.05266,0.043679,0.048508,0.040493,0.040339,0.032399,0.040276,0.038015,0.035783,0.035829,0.013309,52,0,104,2,0,0,0.106852,0,0,0,0,0,0,1,0
"10%",0.0325957,0.0652629,0.0771415,-82.5996077,2.701736,-0.5143375,0.8255028,0.0669999000000001,0.3680914,0.118227,0.2416468,0.111365,0.1661428,0.211131,0.1912565,0.1945566,0.0170976,0.0459593,0.0285953,2.7625957,0.8088998,0.6280365,0.5382312,0.4923426,0.4632581,0.4415506,0.4344693,0.4244103,0.420417,0.4040815,0.398631,0.3877353,0.015264,0.0365946,0.0068859,1.8432418,0.46804,0.3433593,0.2728987,0.2079916,0.1648755,0.1607146,0.1552169,0.1363238,0.1298109,0.1285618,0.1212297,0.1258324,0.0229001,0.0417366,0.0284937,3.6031773,0.247553,0.1387395,0.11111,0.0799224,0.0731109,0.0697503,0.0711739,0.0633478,0.0643234,0.0536576,0.0570695,0.0545146,0.0239782,57.7,0,122,2,0.0858441,0.0460404,0.2970014,0,0,0,0,0,0,1,0
"25%",0.04446675,0.10465925,0.07876225,-76.342837,3.45155325,-0.0026325,1.282991,0.37685225,0.608488,0.298562,0.3957045,0.29405675,0.327878,0.35978275,0.3074845,0.3108265,0.0233295,0.0630135,0.030099,3.466448,1.01964975,0.7318435,0.6134,0.54205725,0.50665625,0.488564,0.47119075,0.4640995,0.456322,0.4355555,0.432412,0.41824625,0.01721125,0.04215825,0.007362,2.40123475,0.61171625,0.426718,0.35479675,0.2735775,0.241913,0.221159,0.211381,0.20095675,0.20533375,0.17689325,0.1794915,0.176927,0.02461225,0.0511635,0.02897775,3.7600135,0.30841225,0.17780475,0.140372,0.1023075,0.093749,0.0850255,0.08776575,0.08303425,0.08188075,0.076827,0.0728675,0.068262,0.04051625,64,0.00717625,132,2,0.177764,0.1286765,0.515071,0,0,0,0,0,0,1,0
"50%",0.064701,0.1638155,0.084162,-71.906419,4.562739,0.661412,1.709751,0.631487,0.8030255,0.5220285,0.5375545,0.485371,0.48968,0.497647,0.4164725,0.422002,0.0365895,0.1248045,0.0343835,4.4949395,1.275432,0.9307745,0.7327625,0.623883,0.5568325,0.543324,0.5198035,0.515169,0.5071445,0.4862885,0.481952,0.461924,0.02133,0.053731,0.00789,3.222316,0.769253,0.570359,0.4595175,0.3765605,0.321235,0.2801425,0.286121,0.283448,0.275245,0.2518265,0.245758,0.2336535,0.027014,0.0620435,0.029782,4.0774275,0.4029265,0.2280845,0.185263,0.140763,0.1221135,0.1111575,0.1064255,0.105835,0.1077835,0.1000105,0.0947615,0.091392,0.1158125,70,0.081376,148,2,0.287575,0.258577,0.820873,0,0,0,0,0,0,2,0.00121008447686444
"75%",0.08743525,0.25166,0.0920335,-68.0798155,6.5773325,1.257748,2.05210975,0.97730775,1.05498225,0.717546,0.72949925,0.6648175,0.690971,0.58858425,0.54796975,0.550972,0.061936,0.23548025,0.0395005,5.39091225,1.590487,1.12105825,0.91561475,0.742844,0.6400345,0.611997,0.600825,0.5758455,0.56495375,0.54132225,0.53306925,0.50934775,0.02697875,0.0692865,0.0086935,4.383961,1.06299775,0.785819,0.59561325,0.49200125,0.428334,0.3890055,0.3750205,0.38276575,0.37446175,0.339355,0.34548975,0.33253275,0.03163375,0.07297125,0.030274,4.425402,0.50316875,0.29209775,0.25307325,0.1885325,0.14755175,0.14261275,0.136489,0.1395535,0.13753525,0.13090175,0.131125,0.1281255,0.2822405,87,0.3751215,181.5,2,0.5169295,0.53301575,1.205718,1,1,1,0,1,1,2,0.0219421171412081
