"Fold","Index"
1,284
1,101
1,400
1,98
1,103
1,270
1,382
1,574
1,552
1,479
1,379
1,298
1,587
1,305
1,358
1,565
1,234
1,534
1,297
1,208
1,434
1,508
1,276
1,71
1,588
1,116
1,102
1,390
1,160
1,442
1,228
1,536
1,249
1,497
1,158
1,363
1,478
1,501
1,142
1,407
1,542
1,26
1,592
1,491
1,405
1,419
1,296
1,323
1,189
1,84
1,83
1,250
1,352
1,523
1,431
1,10
1,73
1,293
1,338
1,499
1,582
1,399
1,171
1,569
1,291
1,402
1,395
1,584
1,170
1,459
1,76
1,59
1,404
1,204
1,285
1,205
1,104
1,210
1,66
1,576
1,89
1,309
1,15
1,254
1,290
1,462
1,178
1,435
1,165
1,280
1,469
1,568
1,544
1,525
1,543
1,122
1,202
1,242
1,443
1,260
1,324
1,42
1,118
1,423
1,252
1,54
1,272
1,224
1,33
1,317
1,413
1,219
1,396
1,53
1,563
1,342
1,283
1,433
1,18
1,154
1,34
1,143
1,549
1,232
1,409
1,517
1,94
1,247
1,580
1,589
1,267
1,321
1,149
1,199
1,275
1,241
1,25
1,157
1,57
1,90
1,279
1,410
1,477
1,504
1,577
1,128
1,370
1,466
1,185
1,314
1,461
1,593
1,560
1,217
1,264
1,2
1,46
1,119
1,528
1,555
1,430
1,113
1,369
1,349
1,421
1,201
1,414
1,436
1,530
1,173
1,238
1,229
1,110
1,339
1,447
1,198
1,37
1,367
1,498
1,193
1,187
1,245
1,69
1,383
1,161
1,140
1,585
1,446
1,226
1,27
1,124
1,463
1,348
1,302
1,426
1,109
1,112
1,274
2,79
2,4
2,212
2,195
2,510
2,108
2,131
2,41
2,182
2,307
2,221
2,136
2,123
2,572
2,522
2,248
2,365
2,169
2,460
2,19
2,214
2,77
2,474
2,532
2,265
2,591
2,450
2,541
2,375
2,86
2,505
2,147
2,583
2,432
2,493
2,488
2,355
2,425
2,496
2,196
2,17
2,281
2,357
2,30
2,540
2,441
2,49
2,579
2,303
2,502
2,166
2,350
2,146
2,107
2,240
2,6
2,401
2,235
2,58
2,225
2,454
2,372
2,411
2,374
2,551
2,292
2,227
2,95
2,289
2,500
2,398
2,529
2,316
2,87
2,311
2,155
2,453
2,207
2,531
2,251
2,52
2,114
2,273
2,138
2,211
2,484
2,394
2,539
2,571
2,452
2,471
2,174
2,533
2,315
2,331
2,489
2,179
2,380
2,164
2,14
2,570
2,389
2,556
2,439
2,177
2,586
2,256
2,191
2,259
2,67
2,223
2,21
2,494
2,464
2,152
2,330
2,91
2,127
2,257
2,378
2,526
2,347
2,68
2,527
2,360
2,451
2,482
2,320
2,304
2,573
2,253
2,373
2,96
2,261
2,162
2,106
2,29
2,518
2,121
2,92
2,397
2,134
2,286
2,200
2,150
2,548
2,351
2,62
2,418
2,135
2,364
2,524
2,412
2,7
2,192
2,416
2,167
2,538
2,521
2,180
2,483
2,144
2,8
2,420
2,3
2,359
2,428
2,417
2,537
2,553
2,55
2,334
2,117
2,346
2,129
2,506
2,300
2,48
2,332
2,72
2,516
2,255
2,503
2,545
2,44
2,288
2,440
2,475
2,480
2,153
2,222
2,468
2,137
2,56
2,391
2,32
2,197
2,512
3,326
3,184
3,511
3,424
3,343
3,258
3,313
3,145
3,495
3,218
3,485
3,60
3,449
3,319
3,558
3,126
3,262
3,181
3,163
3,427
3,40
3,294
3,88
3,403
3,335
3,444
3,457
3,188
3,513
3,22
3,215
3,28
3,354
3,328
3,377
3,376
3,455
3,386
3,175
3,345
3,80
3,148
3,12
3,337
3,473
3,31
3,263
3,550
3,43
3,472
3,39
3,216
3,392
3,63
3,448
3,61
3,70
3,203
3,243
3,65
3,456
3,465
3,266
3,159
3,564
3,578
3,220
3,361
3,554
3,213
3,115
3,194
3,230
3,105
3,75
3,231
3,481
3,100
3,492
3,141
3,36
3,470
3,356
3,567
3,99
3,97
3,458
3,183
3,74
3,445
3,353
3,271
3,393
3,547
3,408
3,13
3,125
3,438
3,64
3,269
3,299
3,557
3,308
3,168
3,566
3,310
3,406
3,429
3,111
3,50
3,239
3,277
3,301
3,268
3,295
3,535
3,35
3,581
3,387
3,11
3,329
3,93
3,384
3,16
3,422
3,327
3,120
3,415
3,371
3,322
3,520
3,23
3,1
3,51
3,85
3,45
3,278
3,366
3,437
3,172
3,20
3,78
3,209
3,318
3,381
3,515
3,487
3,325
3,559
3,388
3,233
3,362
3,368
3,237
3,206
3,190
3,509
3,344
3,562
3,132
3,151
3,139
3,519
3,287
3,476
3,236
3,130
3,467
3,340
3,546
3,385
3,5
3,176
3,38
3,81
3,507
3,312
3,156
3,490
3,333
3,244
3,306
3,282
3,246
3,561
3,133
3,47
3,82
3,590
3,24
3,186
3,486
3,9
3,341
3,575
3,336
3,514
