"arquivo.attributesIndexes","names.att","arquivo.attributes"
1,"Mean_Acc1298_Mean_Mem40_Centroid","numeric"
2,"Mean_Acc1298_Mean_Mem40_Rolloff","numeric"
3,"Mean_Acc1298_Mean_Mem40_Flux","numeric"
4,"Mean_Acc1298_Mean_Mem40_MFCC_0","numeric"
5,"Mean_Acc1298_Mean_Mem40_MFCC_1","numeric"
6,"Mean_Acc1298_Mean_Mem40_MFCC_2","numeric"
7,"Mean_Acc1298_Mean_Mem40_MFCC_3","numeric"
8,"Mean_Acc1298_Mean_Mem40_MFCC_4","numeric"
9,"Mean_Acc1298_Mean_Mem40_MFCC_5","numeric"
10,"Mean_Acc1298_Mean_Mem40_MFCC_6","numeric"
11,"Mean_Acc1298_Mean_Mem40_MFCC_7","numeric"
12,"Mean_Acc1298_Mean_Mem40_MFCC_8","numeric"
13,"Mean_Acc1298_Mean_Mem40_MFCC_9","numeric"
14,"Mean_Acc1298_Mean_Mem40_MFCC_10","numeric"
15,"Mean_Acc1298_Mean_Mem40_MFCC_11","numeric"
16,"Mean_Acc1298_Mean_Mem40_MFCC_12","numeric"
17,"Mean_Acc1298_Std_Mem40_Centroid","numeric"
18,"Mean_Acc1298_Std_Mem40_Rolloff","numeric"
19,"Mean_Acc1298_Std_Mem40_Flux","numeric"
20,"Mean_Acc1298_Std_Mem40_MFCC_0","numeric"
21,"Mean_Acc1298_Std_Mem40_MFCC_1","numeric"
22,"Mean_Acc1298_Std_Mem40_MFCC_2","numeric"
23,"Mean_Acc1298_Std_Mem40_MFCC_3","numeric"
24,"Mean_Acc1298_Std_Mem40_MFCC_4","numeric"
25,"Mean_Acc1298_Std_Mem40_MFCC_5","numeric"
26,"Mean_Acc1298_Std_Mem40_MFCC_6","numeric"
27,"Mean_Acc1298_Std_Mem40_MFCC_7","numeric"
28,"Mean_Acc1298_Std_Mem40_MFCC_8","numeric"
29,"Mean_Acc1298_Std_Mem40_MFCC_9","numeric"
30,"Mean_Acc1298_Std_Mem40_MFCC_10","numeric"
31,"Mean_Acc1298_Std_Mem40_MFCC_11","numeric"
32,"Mean_Acc1298_Std_Mem40_MFCC_12","numeric"
33,"Std_Acc1298_Mean_Mem40_Centroid","numeric"
34,"Std_Acc1298_Mean_Mem40_Rolloff","numeric"
35,"Std_Acc1298_Mean_Mem40_Flux","numeric"
36,"Std_Acc1298_Mean_Mem40_MFCC_0","numeric"
37,"Std_Acc1298_Mean_Mem40_MFCC_1","numeric"
38,"Std_Acc1298_Mean_Mem40_MFCC_2","numeric"
39,"Std_Acc1298_Mean_Mem40_MFCC_3","numeric"
40,"Std_Acc1298_Mean_Mem40_MFCC_4","numeric"
41,"Std_Acc1298_Mean_Mem40_MFCC_5","numeric"
42,"Std_Acc1298_Mean_Mem40_MFCC_6","numeric"
43,"Std_Acc1298_Mean_Mem40_MFCC_7","numeric"
44,"Std_Acc1298_Mean_Mem40_MFCC_8","numeric"
45,"Std_Acc1298_Mean_Mem40_MFCC_9","numeric"
46,"Std_Acc1298_Mean_Mem40_MFCC_10","numeric"
47,"Std_Acc1298_Mean_Mem40_MFCC_11","numeric"
48,"Std_Acc1298_Mean_Mem40_MFCC_12","numeric"
49,"Std_Acc1298_Std_Mem40_Centroid","numeric"
50,"Std_Acc1298_Std_Mem40_Rolloff","numeric"
51,"Std_Acc1298_Std_Mem40_Flux","numeric"
52,"Std_Acc1298_Std_Mem40_MFCC_0","numeric"
53,"Std_Acc1298_Std_Mem40_MFCC_1","numeric"
54,"Std_Acc1298_Std_Mem40_MFCC_2","numeric"
55,"Std_Acc1298_Std_Mem40_MFCC_3","numeric"
56,"Std_Acc1298_Std_Mem40_MFCC_4","numeric"
57,"Std_Acc1298_Std_Mem40_MFCC_5","numeric"
58,"Std_Acc1298_Std_Mem40_MFCC_6","numeric"
59,"Std_Acc1298_Std_Mem40_MFCC_7","numeric"
60,"Std_Acc1298_Std_Mem40_MFCC_8","numeric"
61,"Std_Acc1298_Std_Mem40_MFCC_9","numeric"
62,"Std_Acc1298_Std_Mem40_MFCC_10","numeric"
63,"Std_Acc1298_Std_Mem40_MFCC_11","numeric"
64,"Std_Acc1298_Std_Mem40_MFCC_12","numeric"
65,"BH_LowPeakAmp","numeric"
66,"BH_LowPeakBPM","numeric"
67,"BH_HighPeakAmp","numeric"
68,"BH_HighPeakBPM","numeric"
69,"BH_HighLowRatio","numeric"
70,"BHSUM1","numeric"
71,"BHSUM2","numeric"
72,"BHSUM3","numeric"
