"labelset","frequency"
"0000101",1
"0010101",1
"0010110",1
"0011000",1
"0100000",1
"0100101",1
"0101000",1
"0101001",1
"0101010",1
"0101100",1
"0110100",1
"0110101",1
"0111000",1
"1000111",1
"1010110",1
"1011101",1
"1011111",1
"1100011",1
"1101001",1
"1101100",1
"1110101",1
"0011010",2
"0100100",2
"0111100",2
"1000110",2
"1100000",2
"1100101",2
"0011100",3
"1001110",3
"1011100",3
"1101110",3
"1110100",3
"1111110",3
"1001000",4
"1001010",4
"1101010",4
"1111100",4
"1011000",5
"1101000",5
"1111101",5
"1100100",6
"1100110",7
"0010100",10
"1000100",13
"1010100",16
