"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.54244550758435,1.28274635934846,2465.75498478445,108.455208299943,2.96385285497307,1.92918335076085,0.950019047821847,2.01837591139936,1.22593545593416,0.498510856179782,0.416323316431217,0.316476079966382,0.472626282793363,2.78963565866023,0.237822010586825,0.334071303699615,0.423273656205129,0.402620191670614,0.237822010586825,0.427953768805424,0.499859704253811,0.501820275420198,0.499129530690768,0.436778486280954,0.436778486280954,0.342284338031914,1.14264320183591,0.0673578068768126
"mean",3.58955223880597,2.12686567164179,819.723880597015,28.2761194029851,4.26865671641791,2.99253731343284,0.395522388059701,1.38805970149254,3.33582089552239,0.171641791044776,0.171641791044776,0.111940298507463,0.156716417910448,1.14925373134328,1.05970149253731,1.12686567164179,1.23134328358209,1.20149253731343,1.05970149253731,0.761194029850746,0.455223880597015,0.492537313432836,0.447761194029851,0.746268656716418,0.253731343283582,0.134328358208955,3.2910447761194,0.0612060199212501
"median",4,2,111,3,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0280159433911443
"sum",481,285,109843,3789,572,401,53,186,447,23,23,15,21,154,142,151,165,161,142,102,61,66,60,100,34,18,441,8.20160666944751
"max",6,4,22402,1008,10,8,3,11,7,4,2,1,4,22,2,2,2,2,2,1,1,1,1,1,1,1,6,0.280908358115375
"min",1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0000490160037546206
"25%",3,1,10.25,0,2,2,0,0,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0.25,0,0,2,0.0207539692325098
"50%",4,2,111,3,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0280159433911443
"75%",5,4,595.75,15,7,3.75,0,3,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.75,0,4,0.0940523048808866
"90%",5.7,4,1623.4,52.5,9,6,2,3,5,1,1,1,1,4,1,2,2,2,1,1,1,1,1,1,1,1,5,0.183884957883282
