"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.38032186881845,1.23588180913623,1231.45456461517,87.5472317578434,2.73008523394699,2.04245798375012,0.928190961784514,1.79381951754865,1.19333082652652,0.599278412246441,0.375320375966167,0.268543077764787,0.533943961335039,3.03995824870115,0.242185561406633,0.312403831356393,0.424603887804223,0.363609046176712,0.21145103088313,0.414288082600279,0.502398095292813,0.503831473655779,0.502398095292813,0.450960513366065,0.44289258986107,0.348071610669193,1.10788259583489,0.0678988606507074
"mean",3.56923076923077,2.06153846153846,562.446153846154,24.8307692307692,4.27692307692308,2.98461538461538,0.369230769230769,1.56923076923077,3.36923076923077,0.215384615384615,0.123076923076923,0.0769230769230769,0.107692307692308,0.907692307692308,1.06153846153846,1.10769230769231,1.23076923076923,1.15384615384615,1.04615384615385,0.784615384615385,0.461538461538462,0.507692307692308,0.461538461538462,0.723076923076923,0.261538461538462,0.138461538461538,3.33846153846154,0.0599465751356729
"median",4,2,109,4,3,2,0,2,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0.0279612511732023
"sum",232,134,36559,1614,278,194,24,102,219,14,8,5,7,59,69,72,80,75,68,51,30,33,30,47,17,9,217,3.89652738381874
"max",6,4,8512,684,9,8,3,9,7,4,2,1,4,22,2,2,2,2,2,1,1,1,1,1,1,1,6,0.239045073913475
"min",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0
"10%",2,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.000833333478069576
"25%",3,1,18,1,2,1,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3,0.0177178320698206
"50%",4,2,109,4,3,2,0,2,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0.0279612511732023
"75%",5,3,547,14,7,4,0,3,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0.0940523048808866
"90%",5,4,1495.6,48,9,6,2,3,5,1,0.600000000000001,0,0,1,1,1.6,2,2,1,1,1,1,1,1,1,1,5,0.191312583236018
