"Fold","Index"
1,3
1,8
1,17
1,18
1,19
1,26
1,28
1,33
1,36
1,41
1,42
1,44
1,48
1,50
1,55
1,56
1,61
1,62
1,67
1,68
1,72
1,77
1,78
1,80
1,86
1,89
1,92
1,93
1,97
1,104
1,105
1,106
1,110
1,112
1,119
1,121
1,123
1,127
1,128
1,129
1,136
1,139
1,141
1,143
1,147
1,148
1,155
1,159
1,161
1,162
1,169
1,170
1,172
1,173
1,180
1,183
1,184
1,188
1,191
1,194
2,1
2,6
2,7
2,9
2,11
2,15
2,16
2,23
2,25
2,29
2,31
2,32
2,34
2,37
2,38
2,40
2,43
2,45
2,46
2,52
2,53
2,57
2,59
2,64
2,66
2,69
2,70
2,71
2,76
2,79
2,81
2,88
2,90
2,91
2,95
2,96
2,98
2,100
2,101
2,108
2,114
2,116
2,117
2,118
2,124
2,131
2,133
2,135
2,137
2,138
2,142
2,145
2,146
2,150
2,152
2,158
2,160
2,164
2,167
2,168
2,171
2,176
2,177
2,178
2,179
2,185
2,187
2,190
2,193
3,2
3,4
3,5
3,10
3,12
3,13
3,14
3,20
3,21
3,22
3,24
3,27
3,30
3,35
3,39
3,47
3,49
3,51
3,54
3,58
3,60
3,63
3,65
3,73
3,74
3,75
3,82
3,83
3,84
3,85
3,87
3,94
3,99
3,102
3,103
3,107
3,109
3,111
3,113
3,115
3,120
3,122
3,125
3,126
3,130
3,132
3,134
3,140
3,144
3,149
3,151
3,153
3,154
3,156
3,157
3,163
3,165
3,166
3,174
3,175
3,181
3,182
3,186
3,189
3,192
