"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.58148351754897,1.26880238655357,2613.81445354821,111.64545438783,2.85215901494142,2.14400981825532,0.995447486146014,2.40495189237772,1.37557246715798,0.511850836738368,0.397271459336183,0.291597444720357,0.469387486415116,5.0266489446154,0.227420230499202,0.339573375751663,0.442284196052176,0.419082145839262,0.291597444720357,0.402722084717712,0.501209776750292,0.501209776750292,0.501209776750292,0.428937528202855,0.442284196052176,0.347854721078706,1.23012296921074,0.0662122861561628
"mean",3.62790697674419,2.08527131782946,870.565891472868,28.7441860465116,3.88372093023256,3.37984496124031,0.395348837209302,1.67441860465116,3.51937984496124,0.186046511627907,0.147286821705426,0.0930232558139535,0.147286821705426,1.51937984496124,1.05426356589147,1.13178294573643,1.26356589147287,1.22480620155039,1.09302325581395,0.798449612403101,0.472868217054264,0.527131782945736,0.472868217054264,0.75968992248062,0.263565891472868,0.13953488372093,3.43410852713178,0.0604775594325918
"median",4,1,115,3,3,3,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0.0281227380296483
"sum",468,269,112303,3708,501,436,51,216,454,24,19,12,19,196,136,146,163,158,141,103,61,68,61,98,34,18,443,7.80160516680434
"max",6,4,22402,1008,10,8,5,14,8,4,2,1,4,50,2,2,2,2,2,1,1,1,1,1,1,1,7,0.245327461978146
"min",1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.00143751755208026
"25%",3,1,9,0,2,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0176044077340038
"50%",4,1,115,3,3,3,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,3,0.0281227380296483
"75%",5,4,587,14,7,6,0,3,4,0,0,0,0,1,1,1,2,1,1,1,1,1,1,1,1,0,4,0.0959956849210648
"90%",6,4,1341.2,45.4,9,7,2,5,5.2,1,1,0,1,4,1,2,2,2,1,1,1,1,1,1,1,1,5,0.184734066532611
