"labelset","frequency"
"0000101",1
"0010110",1
"0011010",1
"0011110",1
"0100000",1
"0100101",1
"0101001",1
"0101010",1
"0110100",1
"0110101",1
"0111010",1
"1000010",1
"1001100",1
"1010110",1
"1011101",1
"1011110",1
"1100010",1
"1100011",1
"1101011",1
"1101100",1
"1110101",1
"1111111",1
"0010101",2
"0011100",2
"0111100",2
"1000110",2
"1100000",2
"1100101",2
"1111110",2
"0100100",3
"1001010",3
"1001110",3
"1101110",3
"1110100",3
"1111100",3
"1001000",4
"1011000",4
"1011100",4
"1101010",4
"1111101",5
"1100110",6
"1101000",6
"1100100",7
"0010100",8
"1000100",10
"1010100",18
