"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.73662690750576,1.32400007193209,1948.98789509534,130.403721972822,2.98570502960516,1.96440295465415,0.852168103246347,2.75144262305004,1.43337486097095,0.595743832771867,0.377964473009227,0.293784825696502,0.350382444113368,6.82067279532983,0.213042025811587,0.350382444113368,0.445156919006863,0.436435780471985,0.314576434802948,0.405505269767883,0.502967385101848,0.501733107449679,0.501733107449679,0.436435780471985,0.445156919006863,0.333333333333333,1.2724180205607,0.0722561062704485
"mean",3.5,2.34375,723.203125,33.609375,3.578125,3.171875,0.3125,1.71875,3.59375,0.203125,0.125,0.09375,0.140625,2.046875,1.046875,1.140625,1.265625,1.25,1.109375,0.796875,0.46875,0.546875,0.546875,0.75,0.265625,0.125,3.5,0.057186015241894
"median",4,2,87.5,2,2,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,3,0.0218582002246452
"sum",224,150,46285,2151,229,203,20,110,230,13,8,6,9,131,67,73,81,80,71,51,30,35,35,48,17,8,224,3.65990497548122
"max",6,4,9561,1008,10,8,3,14,8,4,2,1,1,50,2,2,2,2,2,1,1,1,1,1,1,1,7,0.258610300570271
"min",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.00276493531227222
"25%",2,1,2.75,0,1,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0.75,0,0,3,0.0139483118930253
"50%",4,2,87.5,2,2,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,3,0.0218582002246452
"75%",5,4,466,10.75,5.5,4,0,3,4,0,0,0,0,1,1,1,2,1.25,1,1,1,1,1,1,1,0,4,0.0805962928732881
"90%",6,4,1106.6,53.9,9,6,1,5,6,1,0.700000000000003,0,1,4,1,2,2,2,1.7,1,1,1,1,1,1,1,5.7,0.210132234005826
