"","landmass","zone","area","population","language","religion","bars","stripes","colours","circles","crosses","saltires","quarters","sunstars","crescent","triangle","icon","animate","text","red","green","blue","yellow","white","black","orange",".labelcount",".SCUMBLE"
"sd",1.50080106814789,1.35873244097351,611.104777463294,19.43884641639,2.85532565837675,1.84469092679089,1.11760389295066,2.16450829378087,1.13785391789172,0.348071610669193,0.363609046176712,0.291712450619019,0.363609046176712,2.76421153036727,0.242185561406633,0.363609046176712,0.424603887804223,0.363609046176712,0.242185561406633,0.424603887804223,0.502398095292813,0.503354134397826,0.502398095292813,0.44289258986107,0.450960513366065,0.331082141794728,1.08862121688223,0.0693531807048449
"mean",3.46153846153846,2.46153846153846,361.630769230769,12.4,4.18461538461538,2.81538461538462,0.569230769230769,1.30769230769231,3.35384615384615,0.138461538461538,0.153846153846154,0.0923076923076923,0.153846153846154,1.12307692307692,1.06153846153846,1.15384615384615,1.23076923076923,1.15384615384615,1.06153846153846,0.769230769230769,0.461538461538462,0.476923076923077,0.461538461538462,0.738461538461539,0.276923076923077,0.123076923076923,3.30769230769231,0.0608649431458115
"median",4,2,103,5,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0276023919120898
"sum",225,160,23506,806,272,183,37,85,218,9,10,6,10,73,69,75,80,75,69,50,30,31,30,48,18,8,215,3.95622130447775
"max",6,4,2506,84,9,8,3,11,7,1,1,1,1,15,2,2,2,2,2,1,1,1,1,1,1,1,6,0.300145787776235
"min",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.000208268251764121
"10%",1,1,0,0,1,1,0,0,2,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,2,0.0214677232682189
"25%",3,1,5,0,2,1,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,3,0.024117923028218
"50%",4,2,103,5,3,2,0,0,3,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,3,0.0276023919120898
"75%",4,4,447,14,7,4,0,3,4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0.0816326530612245
"90%",5,4,888.6,38.6,8.6,6,3,3,5,1,1,0,1,4.2,1,2,2,2,1,1,1,1,1,1,1,1,5,0.188681198210969
