"Fold","Index"
1,28
1,80
1,101
1,137
1,144
1,132
1,98
1,103
1,90
1,116
1,126
1,62
1,4
1,185
1,40
1,188
1,48
1,131
1,87
1,115
1,180
1,49
1,134
1,154
1,57
1,96
1,22
1,162
1,10
1,109
1,138
1,169
1,27
1,187
1,65
1,36
1,194
1,19
1,153
1,189
1,58
1,32
1,77
1,168
1,107
1,193
1,11
1,46
1,125
1,178
1,23
1,129
1,121
1,146
1,139
1,143
1,130
1,97
1,84
1,47
1,55
1,56
1,64
1,69
1,82
2,150
2,133
2,70
2,79
2,149
2,93
2,122
2,66
2,108
2,42
2,102
2,136
2,145
2,167
2,164
2,148
2,181
2,142
2,152
2,191
2,76
2,60
2,17
2,85
2,157
2,53
2,119
2,140
2,182
2,159
2,100
2,158
2,161
2,29
2,147
2,16
2,113
2,151
2,94
2,75
2,105
2,73
2,37
2,68
2,174
2,3
2,170
2,175
2,7
2,25
2,81
2,128
2,135
2,118
2,155
2,88
2,5
2,50
2,186
2,163
2,173
2,54
2,31
2,33
2,78
3,111
3,166
3,14
3,123
3,41
3,72
3,43
3,2
3,117
3,51
3,192
3,26
3,8
3,35
3,86
3,83
3,20
3,71
3,61
3,160
3,9
3,30
3,63
3,6
3,106
3,190
3,165
3,21
3,114
3,141
3,172
3,124
3,38
3,120
3,127
3,179
3,34
3,91
3,171
3,104
3,110
3,184
3,183
3,45
3,177
3,12
3,15
3,89
3,18
3,95
3,112
3,52
3,24
3,13
3,1
3,39
3,99
3,67
3,44
3,92
3,156
3,74
3,176
3,59
