"arquivo.attributesIndexes","names.att","arquivo.attributes"
1,"landmass","{1, 2, 3, 4, 5, 6}"
2,"zone","{1, 2, 3, 4}"
3,"area","numeric"
4,"population","numeric"
5,"language","{1, 2, 3, 4, 5, 6, 7, 8, 9, 10}"
6,"religion","{0, 1, 2, 3, 4, 5, 6, 7}"
7,"bars","numeric"
8,"stripes","numeric"
9,"colours","numeric"
10,"circles","numeric"
11,"crosses","numeric"
12,"saltires","numeric"
13,"quarters","numeric"
14,"sunstars","numeric"
15,"crescent","{0, 1}"
16,"triangle","{0, 1}"
17,"icon","{0, 1}"
18,"animate","{0, 1}"
19,"text","{0, 1}"
