"labelset","frequency"
"0000101",1
"0010110",1
"0011000",1
"0011110",1
"0100000",1
"0101000",1
"0101001",1
"0101010",1
"0101100",1
"0110100",1
"0110101",1
"0111000",1
"0111010",1
"1000010",1
"1000111",1
"1001100",1
"1011101",1
"1011111",1
"1100010",1
"1100011",1
"1101001",1
"1101011",1
"1110101",1
"1111000",1
"0010101",2
"0011010",2
"0100101",2
"1000110",2
"1010110",2
"1011110",2
"1100101",2
"1101100",2
"1111111",2
"0011100",3
"0111100",3
"1100000",3
"0100100",4
"1110100",4
"1111110",4
"1001000",5
"1001010",5
"1001110",5
"1101010",5
"1101110",5
"1111100",5
"1011000",6
"1011100",6
"1100110",8
"1111101",8
"1101000",9
"1100100",10
"0010100",12
"1000100",15
"1010100",27
