"names.att","data.attributes"
"Att1","numeric"
"Att2","numeric"
"Att3","numeric"
"Att4","numeric"
"Att5","numeric"
"Att6","numeric"
"Att7","numeric"
"Att8","numeric"
"Att9","numeric"
"Att10","numeric"
"Att11","numeric"
"Att12","numeric"
"Att13","numeric"
"Att14","numeric"
"Att15","numeric"
"Att16","numeric"
"Att17","numeric"
"Att18","numeric"
"Att19","numeric"
"Att20","numeric"
"Att21","numeric"
"Att22","numeric"
"Att23","numeric"
"Att24","numeric"
"Att25","numeric"
"Att26","numeric"
"Att27","numeric"
"Att28","numeric"
"Att29","numeric"
"Att30","numeric"
"Att31","numeric"
"Att32","numeric"
"Att33","numeric"
"Att34","numeric"
"Att35","numeric"
"Att36","numeric"
"Att37","numeric"
"Att38","numeric"
"Att39","numeric"
"Att40","numeric"
"Att41","numeric"
"Att42","numeric"
"Att43","numeric"
"Att44","numeric"
"Att45","numeric"
"Att46","numeric"
"Att47","numeric"
"Att48","numeric"
"Att49","numeric"
"Att50","numeric"
"Att51","numeric"
"Att52","numeric"
"Att53","numeric"
"Att54","numeric"
"Att55","numeric"
"Att56","numeric"
"Att57","numeric"
"Att58","numeric"
"Att59","numeric"
"Att60","numeric"
"Att61","numeric"
"Att62","numeric"
"Att63","numeric"
"Att64","numeric"
"Att65","numeric"
"Att66","numeric"
"Att67","numeric"
"Att68","numeric"
"Att69","numeric"
"Att70","numeric"
"Att71","numeric"
"Att72","numeric"
"Att73","numeric"
"Att74","numeric"
"Att75","numeric"
"Att76","numeric"
"Att77","numeric"
"Att78","numeric"
"Att79","numeric"
"Att80","numeric"
"Att81","numeric"
"Att82","numeric"
"Att83","numeric"
"Att84","numeric"
"Att85","numeric"
"Att86","numeric"
"Att87","numeric"
"Att88","numeric"
"Att89","numeric"
"Att90","numeric"
"Att91","numeric"
"Att92","numeric"
"Att93","numeric"
"Att94","numeric"
"Att95","numeric"
"Att96","numeric"
"Att97","numeric"
"Att98","numeric"
"Att99","numeric"
"Att100","numeric"
"Att101","numeric"
"Att102","numeric"
"Att103","numeric"
"Att104","numeric"
"Att105","numeric"
"Att106","numeric"
"Att107","numeric"
"Att108","numeric"
"Att109","numeric"
"Att110","numeric"
"Att111","numeric"
"Att112","numeric"
"Att113","numeric"
"Att114","numeric"
"Att115","numeric"
"Att116","numeric"
"Att117","numeric"
"Att118","numeric"
"Att119","numeric"
"Att120","numeric"
"Att121","numeric"
"Att122","numeric"
"Att123","numeric"
"Att124","numeric"
"Att125","numeric"
"Att126","numeric"
"Att127","numeric"
"Att128","numeric"
"Att129","numeric"
"Att130","numeric"
