"labelset","mean_distance","n_instances"
"001110",0.140586335600153,23
"100001",0.202697738938539,27
"001000",0.252589598814752,14
"011000",0.276548563659032,24
"001010",0.323637478832293,8
"000001",0.390826383766435,24
"010000",0.472795253222962,8
"000110",0.590479309419483,13
"111000",0.613678750245914,3
"001100",0.632719884696077,10
"110000",0.809925439809844,12
"100000",0.886341374937101,8
"000010",0.967214370868861,4
"100011",0.990563542825701,1
"000100",1.08261285851541,2
"001001",1.10986986595821,1
"110001",1.12162004656562,3
"011100",1.13240113543069,2
"000011",1.1786921876536,4
"001011",1.18091774597575,1
"101000",1.2525881334525,1
"010001",1.30974869139351,1
"010010",1.47279525322296,1
"100010",1.67420717882426,2
