"cluster","labelset","frequencia","fold","dataset","neighborhood"
1,"100001",27,1,"emotions","bubble"
1,"000001",24,1,"emotions","bubble"
1,"011000",24,1,"emotions","bubble"
1,"110000",12,1,"emotions","bubble"
1,"010000",8,1,"emotions","bubble"
1,"100000",8,1,"emotions","bubble"
1,"000011",4,1,"emotions","bubble"
1,"110001",3,1,"emotions","bubble"
1,"111000",3,1,"emotions","bubble"
1,"011100",2,1,"emotions","bubble"
1,"001001",1,1,"emotions","bubble"
1,"010001",1,1,"emotions","bubble"
1,"010010",1,1,"emotions","bubble"
1,"100011",1,1,"emotions","bubble"
2,"001110",23,1,"emotions","bubble"
2,"001000",14,1,"emotions","bubble"
2,"000110",13,1,"emotions","bubble"
2,"001100",10,1,"emotions","bubble"
2,"001010",8,1,"emotions","bubble"
2,"000010",4,1,"emotions","bubble"
2,"000100",2,1,"emotions","bubble"
2,"100010",2,1,"emotions","bubble"
2,"001011",1,1,"emotions","bubble"
2,"101000",1,1,"emotions","bubble"
1,"100001",27,2,"emotions","bubble"
1,"000001",24,2,"emotions","bubble"
1,"110000",13,2,"emotions","bubble"
1,"100000",8,2,"emotions","bubble"
1,"000011",4,2,"emotions","bubble"
1,"010001",2,2,"emotions","bubble"
1,"100010",2,2,"emotions","bubble"
1,"110001",2,2,"emotions","bubble"
1,"001001",1,2,"emotions","bubble"
1,"001011",1,2,"emotions","bubble"
1,"100011",1,2,"emotions","bubble"
2,"011000",25,2,"emotions","bubble"
2,"001110",22,2,"emotions","bubble"
2,"001000",14,2,"emotions","bubble"
2,"000110",12,2,"emotions","bubble"
2,"001100",10,2,"emotions","bubble"
2,"001010",9,2,"emotions","bubble"
2,"010000",7,2,"emotions","bubble"
2,"000010",4,2,"emotions","bubble"
2,"111000",4,2,"emotions","bubble"
2,"000100",2,2,"emotions","bubble"
2,"011100",2,2,"emotions","bubble"
2,"001101",1,2,"emotions","bubble"
2,"101000",1,2,"emotions","bubble"
1,"100001",27,3,"emotions","bubble"
1,"011000",25,3,"emotions","bubble"
1,"000001",24,3,"emotions","bubble"
1,"001000",14,3,"emotions","bubble"
1,"110000",13,3,"emotions","bubble"
1,"010000",8,3,"emotions","bubble"
1,"100000",8,3,"emotions","bubble"
1,"000011",4,3,"emotions","bubble"
1,"111000",4,3,"emotions","bubble"
1,"010001",2,3,"emotions","bubble"
1,"011100",2,3,"emotions","bubble"
1,"100010",2,3,"emotions","bubble"
1,"100011",2,3,"emotions","bubble"
1,"110001",2,3,"emotions","bubble"
1,"001001",1,3,"emotions","bubble"
1,"010100",1,3,"emotions","bubble"
2,"001110",22,3,"emotions","bubble"
2,"000110",12,3,"emotions","bubble"
2,"001100",10,3,"emotions","bubble"
2,"001010",8,3,"emotions","bubble"
2,"000010",4,3,"emotions","bubble"
2,"000100",1,3,"emotions","bubble"
2,"000111",1,3,"emotions","bubble"
2,"001011",1,3,"emotions","bubble"
