"labelset","mean_distance","n_instances"
"001110",0.283770829096516,22
"100001",0.3523795198876,27
"000001",0.357558577473557,24
"001000",0.387884501627778,14
"011000",0.415105986619367,25
"001100",0.488278177866292,10
"010000",0.582030392448674,8
"001010",0.591479380304338,8
"000110",0.724952868396501,12
"111000",0.734454085856204,4
"100000",0.851498060431673,8
"000010",0.863959128135612,4
"110000",0.901378491685511,13
"000100",0.929460217166277,1
"110001",1.04622872958406,2
"010001",1.05140778717001,2
"001001",1.06966300510992,1
"011100",1.16723096351366,2
"100011",1.17481795390793,2
"000011",1.17999701149389,4
"001011",1.27325788378648,1
"010100",1.33415536934296,1
"100010",1.4599884854731,2
"000111",1.66922031174127,1
