"dataset","neighborhood","fold","ccc","ac"
"emotions","gaussian",1,0.619483520220128,0.356877127464846
"emotions","gaussian",2,0.499659196961333,0.404389720676868
"emotions","gaussian",3,0.648255359572597,0.326790224402888
"emotions","bubble",1,0.860294324575653,0.228546933272967
"emotions","bubble",2,0.814839937694887,0.289878713396299
"emotions","bubble",3,0.536141324116761,0.145591928958459
"scene","gaussian",1,0.712421214803554,0.188166054673147
"scene","gaussian",2,0.552775864925777,0.138264810977979
"scene","gaussian",3,0.660861275213088,0.203585358100143
"scene","bubble",1,0.791854494883099,0.168689922099031
"scene","bubble",2,0.575637977813763,0.116223627147412
"scene","bubble",3,0.910838759434648,0.137219980233071
