"dataset","neighborhood","fold","k","silhouette","mean_entropy","hellinger"
"emotions","gaussian",1,2,0.148700253810236,2.64843999428521,0.757618717442526
"emotions","gaussian",1,3,0.140983326155146,2.28035041987529,NA
"emotions","gaussian",2,2,0.133622708692449,2.66581322837565,0.69864110749766
"emotions","gaussian",2,3,0.110321239133938,2.26247965644545,NA
"emotions","gaussian",3,2,0.142341774863753,2.70631034159184,0.71595338116828
"emotions","gaussian",3,3,0.137400661738553,2.3103202876271,NA
"emotions","bubble",1,2,0.177119390615478,2.89368611868634,0.751463782193223
"emotions","bubble",1,3,0.0762259390385049,2.23681883352485,NA
"emotions","bubble",2,2,0.168813273293868,2.92628497444575,0.70687706218113
"emotions","bubble",2,3,0.114088847340619,2.32092223214077,NA
"emotions","bubble",3,2,0.137991110252156,2.90557002864774,0.72537425313402
"emotions","bubble",3,3,0.114438698899237,2.30575353153011,NA
"scene","gaussian",1,2,0.125944443326565,1.80430080308767,0.822883380398722
"scene","gaussian",1,3,0.0221663182757793,1.34527495987687,NA
"scene","gaussian",2,2,0.123648308796058,1.80819826719586,0.807193908234542
"scene","gaussian",2,3,0.0344937562694342,1.19765085104807,NA
"scene","gaussian",3,2,0.0950875135486358,1.7887862216381,0.827009615646939
"scene","gaussian",3,3,0.0521370743398897,1.18603347406109,NA
"scene","bubble",1,2,0.0604611789921389,1.52631410803248,0.924744483494636
"scene","bubble",1,3,0.0605742791924163,1.0629649961825,NA
"scene","bubble",2,2,0.0660090515627029,1.36987896702868,1
"scene","bubble",2,3,0.054846873671029,1.00698185148359,NA
"scene","bubble",3,2,0.00999872498063236,1.83078369438167,0.922228306623072
"scene","bubble",3,3,0.0524224818548124,0.971017180523202,NA
