"labelset","n","mean_distance","cluster_neuron"
"010000",121,0.684620531316038,"C1N1"
"100000",123,0.683198913619519,"C1N1"
"000100",109,0.633454193157273,"C1N1"
"001010",4,0.938893041415963,"C1N3"
"001100",7,0.888887115695336,"C1N3"
"001000",120,0.00440945261603951,"C1N3"
"001110",1,1.78083860467573,"C1N4"
"100010",13,0.834776672070668,"C1N4"
"000110",25,0.78618896189985,"C1N4"
"000010",135,0.0228527455593425,"C1N4"
"000101",2,0.969048995658207,"C2N2"
"100001",7,0.911687212167356,"C2N2"
"000001",135,0.00233099682466091,"C2N2"
