"labelset","n","mean_distance","cluster_neuron"
"000011",1,1.24322776697562,"C1N1"
"000100",109,0.69341029992605,"C1N1"
"000110",25,0.66859084584717,"C1N1"
"000010",135,0.373120187757042,"C1N1"
"100001",6,0.920085843219547,"C1N3"
"100010",12,0.879678526078555,"C1N3"
"100000",123,0.218004909506561,"C1N3"
"000101",2,1.35811028636243,"C1N4"
"010000",122,0.608739356454708,"C1N4"
"000001",135,0.455576564350221,"C1N4"
"001100",8,0.957967390431952,"C2N2"
"001010",5,0.931353814137132,"C2N2"
"001000",120,0.186706870965664,"C2N2"
