"dataset","fold","neighborhood","topology","grid_size","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_val","iter_time_s"
"emotions",1,"gaussian","rectangular","2x2",100,1,0.05,0.005,0,0.589468686924954,0.57
"emotions",1,"gaussian","rectangular","2x2",500,1,0.05,0.005,0,0.60296639025692,0.58
"emotions",1,"gaussian","rectangular","2x2",1000,1,0.05,0.005,0,0.584524791643367,0.61
"emotions",1,"gaussian","rectangular","2x2",100,1.5,0.05,0.005,0,0.572781173202806,0.62
"emotions",1,"gaussian","rectangular","2x2",500,1.5,0.05,0.005,0,0.592922534377187,0.64
"emotions",1,"gaussian","rectangular","2x2",1000,1.5,0.05,0.005,0,0.601091382609311,0.66
"emotions",1,"gaussian","rectangular","2x2",100,1,0.1,0.005,0,0.584046481014996,0.67
"emotions",1,"gaussian","rectangular","2x2",500,1,0.1,0.005,0,0.581058883020748,0.68
"emotions",1,"gaussian","rectangular","2x2",1000,1,0.1,0.005,0,0.576276090127955,0.71
"emotions",1,"gaussian","rectangular","2x2",100,1.5,0.1,0.005,0,0.603401239751935,0.71
"emotions",1,"gaussian","rectangular","2x2",500,1.5,0.1,0.005,0,0.589175555743314,0.73
"emotions",1,"gaussian","rectangular","2x2",1000,1.5,0.1,0.005,0,0.574921259348047,0.76
"emotions",1,"gaussian","rectangular","2x2",100,1,0.05,0.01,0,0.581259272361641,0.76
"emotions",1,"gaussian","rectangular","2x2",500,1,0.05,0.01,0,0.603854700254441,0.78
"emotions",1,"gaussian","rectangular","2x2",1000,1,0.05,0.01,0,0.579226676001247,0.8
"emotions",1,"gaussian","rectangular","2x2",100,1.5,0.05,0.01,0,0.601191943659734,0.81
"emotions",1,"gaussian","rectangular","2x2",500,1.5,0.05,0.01,0,0.58630894813456,0.82
"emotions",1,"gaussian","rectangular","2x2",1000,1.5,0.05,0.01,0,0.591919197667877,0.85
"emotions",1,"gaussian","rectangular","2x2",100,1,0.1,0.01,0,0.581835373967725,0.86
"emotions",1,"gaussian","rectangular","2x2",500,1,0.1,0.01,0,0.585651556904413,0.87
"emotions",1,"gaussian","rectangular","2x2",1000,1,0.1,0.01,0,0.580554567616057,0.9
"emotions",1,"gaussian","rectangular","2x2",100,1.5,0.1,0.01,0,0.58726927457419,0.9
"emotions",1,"gaussian","rectangular","2x2",500,1.5,0.1,0.01,0,0.581960594093367,0.92
"emotions",1,"gaussian","rectangular","2x2",1000,1.5,0.1,0.01,0,0.57240744802006,0.94
