"dataset","neighborhood","topology","rlen","radius","alpha_start","alpha_end","n_folds","mean_time_s","total_time_s"
"emotions","bubble","hexagonal",100,1,0.05,0.005,3,8.54333333333333,25.63
"emotions","bubble","hexagonal",100,1,0.05,0.01,3,8.70666666666667,26.12
"emotions","bubble","hexagonal",100,1,0.1,0.005,3,8.62333333333333,25.87
"emotions","bubble","hexagonal",100,1,0.1,0.01,3,8.78666666666667,26.36
"emotions","bubble","hexagonal",100,1.5,0.05,0.005,3,8.58666666666667,25.76
"emotions","bubble","hexagonal",100,1.5,0.05,0.01,3,8.74666666666667,26.24
"emotions","bubble","hexagonal",100,1.5,0.1,0.005,3,8.66666666666667,26
"emotions","bubble","hexagonal",100,1.5,0.1,0.01,3,8.82666666666667,26.48
"emotions","bubble","hexagonal",500,1,0.05,0.005,3,8.55333333333333,25.66
"emotions","bubble","hexagonal",500,1,0.05,0.01,3,8.72,26.16
"emotions","bubble","hexagonal",500,1,0.1,0.005,3,8.63333333333333,25.9
"emotions","bubble","hexagonal",500,1,0.1,0.01,3,8.79666666666667,26.39
"emotions","bubble","hexagonal",500,1.5,0.05,0.005,3,8.6,25.8
"emotions","bubble","hexagonal",500,1.5,0.05,0.01,3,8.75666666666667,26.27
"emotions","bubble","hexagonal",500,1.5,0.1,0.005,3,8.68,26.04
"emotions","bubble","hexagonal",500,1.5,0.1,0.01,3,8.83666666666667,26.51
"emotions","bubble","hexagonal",1000,1,0.05,0.005,3,8.58,25.74
"emotions","bubble","hexagonal",1000,1,0.05,0.01,3,8.74333333333333,26.23
"emotions","bubble","hexagonal",1000,1,0.1,0.005,3,8.66333333333333,25.99
"emotions","bubble","hexagonal",1000,1,0.1,0.01,3,8.81666666666667,26.45
"emotions","bubble","hexagonal",1000,1.5,0.05,0.005,3,8.62333333333333,25.87
"emotions","bubble","hexagonal",1000,1.5,0.05,0.01,3,8.78,26.34
"emotions","bubble","hexagonal",1000,1.5,0.1,0.005,3,8.7,26.1
"emotions","bubble","hexagonal",1000,1.5,0.1,0.01,3,8.85666666666667,26.57
"emotions","bubble","rectangular",100,1,0.05,0.005,3,8.21,24.63
"emotions","bubble","rectangular",100,1,0.05,0.01,3,8.36666666666667,25.1
"emotions","bubble","rectangular",100,1,0.1,0.005,3,8.28666666666667,24.86
"emotions","bubble","rectangular",100,1,0.1,0.01,3,8.45,25.35
"emotions","bubble","rectangular",100,1.5,0.05,0.005,3,8.24666666666667,24.74
"emotions","bubble","rectangular",100,1.5,0.05,0.01,3,8.40333333333333,25.21
"emotions","bubble","rectangular",100,1.5,0.1,0.005,3,8.32666666666667,24.98
"emotions","bubble","rectangular",100,1.5,0.1,0.01,3,8.5,25.5
"emotions","bubble","rectangular",500,1,0.05,0.005,3,8.22,24.66
"emotions","bubble","rectangular",500,1,0.05,0.01,3,8.37666666666667,25.13
"emotions","bubble","rectangular",500,1,0.1,0.005,3,8.3,24.9
"emotions","bubble","rectangular",500,1,0.1,0.01,3,8.46333333333333,25.39
"emotions","bubble","rectangular",500,1.5,0.05,0.005,3,8.25666666666667,24.77
"emotions","bubble","rectangular",500,1.5,0.05,0.01,3,8.41666666666667,25.25
"emotions","bubble","rectangular",500,1.5,0.1,0.005,3,8.33666666666667,25.01
"emotions","bubble","rectangular",500,1.5,0.1,0.01,3,8.51333333333333,25.54
"emotions","bubble","rectangular",1000,1,0.05,0.005,3,8.24,24.72
"emotions","bubble","rectangular",1000,1,0.05,0.01,3,8.4,25.2
"emotions","bubble","rectangular",1000,1,0.1,0.005,3,8.32,24.96
"emotions","bubble","rectangular",1000,1,0.1,0.01,3,8.49666666666667,25.49
"emotions","bubble","rectangular",1000,1.5,0.05,0.005,3,8.28,24.84
"emotions","bubble","rectangular",1000,1.5,0.05,0.01,3,8.44333333333333,25.33
"emotions","bubble","rectangular",1000,1.5,0.1,0.005,3,8.36,25.08
"emotions","bubble","rectangular",1000,1.5,0.1,0.01,3,8.53666666666667,25.61
"emotions","gaussian","hexagonal",100,1,0.05,0.005,3,7.83333333333333,23.5
"emotions","gaussian","hexagonal",100,1,0.05,0.01,3,8.02,24.06
"emotions","gaussian","hexagonal",100,1,0.1,0.005,3,7.92666666666667,23.78
"emotions","gaussian","hexagonal",100,1,0.1,0.01,3,8.11333333333333,24.34
"emotions","gaussian","hexagonal",100,1.5,0.05,0.005,3,7.87666666666667,23.63
"emotions","gaussian","hexagonal",100,1.5,0.05,0.01,3,8.06666666666667,24.2
"emotions","gaussian","hexagonal",100,1.5,0.1,0.005,3,7.97333333333333,23.92
"emotions","gaussian","hexagonal",100,1.5,0.1,0.01,3,8.15666666666667,24.47
"emotions","gaussian","hexagonal",500,1,0.05,0.005,3,7.85,23.55
"emotions","gaussian","hexagonal",500,1,0.05,0.01,3,8.03333333333333,24.1
"emotions","gaussian","hexagonal",500,1,0.1,0.005,3,7.93666666666667,23.81
"emotions","gaussian","hexagonal",500,1,0.1,0.01,3,8.12666666666667,24.38
"emotions","gaussian","hexagonal",500,1.5,0.05,0.005,3,7.89,23.67
"emotions","gaussian","hexagonal",500,1.5,0.05,0.01,3,8.08,24.24
"emotions","gaussian","hexagonal",500,1.5,0.1,0.005,3,7.99,23.97
"emotions","gaussian","hexagonal",500,1.5,0.1,0.01,3,8.18,24.54
"emotions","gaussian","hexagonal",1000,1,0.05,0.005,3,7.87,23.61
"emotions","gaussian","hexagonal",1000,1,0.05,0.01,3,8.05666666666667,24.17
"emotions","gaussian","hexagonal",1000,1,0.1,0.005,3,7.97,23.91
"emotions","gaussian","hexagonal",1000,1,0.1,0.01,3,8.15666666666667,24.47
"emotions","gaussian","hexagonal",1000,1.5,0.05,0.005,3,7.91666666666667,23.75
"emotions","gaussian","hexagonal",1000,1.5,0.05,0.01,3,8.10666666666667,24.32
"emotions","gaussian","hexagonal",1000,1.5,0.1,0.005,3,8.01333333333333,24.04
"emotions","gaussian","hexagonal",1000,1.5,0.1,0.01,3,8.2,24.6
"emotions","gaussian","rectangular",100,1,0.05,0.005,3,7.46333333333333,22.39
"emotions","gaussian","rectangular",100,1,0.05,0.01,3,7.65,22.95
"emotions","gaussian","rectangular",100,1,0.1,0.005,3,7.56,22.68
"emotions","gaussian","rectangular",100,1,0.1,0.01,3,7.74333333333333,23.23
"emotions","gaussian","rectangular",100,1.5,0.05,0.005,3,7.51,22.53
"emotions","gaussian","rectangular",100,1.5,0.05,0.01,3,7.69666666666667,23.09
"emotions","gaussian","rectangular",100,1.5,0.1,0.005,3,7.6,22.8
"emotions","gaussian","rectangular",100,1.5,0.1,0.01,3,7.78666666666667,23.36
"emotions","gaussian","rectangular",500,1,0.05,0.005,3,7.47666666666667,22.43
"emotions","gaussian","rectangular",500,1,0.05,0.01,3,7.66666666666667,23
"emotions","gaussian","rectangular",500,1,0.1,0.005,3,7.57333333333333,22.72
