"labelset","mean_distance","n_instances"
"001110",0.187023321109008,22
"100001",0.187764075019238,27
"011000",0.220398336958833,25
"001010",0.291519967241353,8
"000010",0.355562338339237,4
"000001",0.376843241124986,24
"000110",0.555495206229799,12
"001100",0.598522267492457,10
"111000",0.610143055722766,4
"010000",0.631036129380115,8
"001011",0.776025437654085,1
"001000",0.827448245117116,14
"000011",0.840067808751969,4
"100000",0.913218854477065,8
"000100",0.966994152613248,1
"110000",1.02078084814405,13
"110001",1.05870033903351,2
"011100",1.13423423098456,2
"100011",1.15878842692185,2
"100010",1.19958613556798,2
"010001",1.24777950513926,2
"001001",1.3525206799647,1
"000111",1.50134694268097,1
"010100",1.54487202340584,1
