"labelset","mean_distance","n_instances"
"001110",0.299262754765442,23
"000001",0.331070454657459,24
"100001",0.372925784824038,27
"011000",0.39871743966823,24
"001000",0.418597810751901,14
"010000",0.483178601314115,8
"001100",0.591456261590664,10
"000110",0.63118731668539,13
"001010",0.649341076713785,8
"111000",0.791590398962776,3
"000010",0.853656381216519,4
"110000",0.876051560608662,12
"100000",0.900240660914097,8
"000100",0.923380823510612,2
"001001",1.00666102671878,1
"010001",1.02425954567688,1
"110001",1.06611487584346,3
"101000",1.07794819347872,1
"000011",1.10403148551093,4
"100011",1.14588681567751,1
"011100",1.15793132312276,2
"001011",1.23740429268066,1
"010010",1.28647433085631,1
"100010",1.51300676394334,2
