"labelset","n","mean_distance","cluster_neuron"
"100010",2,1.51300676394334,"C1N1"
"001011",1,1.23740429268066,"C1N1"
"001001",1,1.00666102671878,"C1N1"
"000010",4,0.853656381216519,"C1N1"
"001010",8,0.649341076713785,"C1N1"
"001000",14,0.418597810751901,"C1N1"
"010100",1,1.24239248476864,"C1N4"
"011100",2,1.15793132312276,"C1N4"
"110000",13,0.876051560608662,"C1N4"
"111000",4,0.791590398962776,"C1N4"
"010000",8,0.483178601314115,"C1N4"
"011000",25,0.39871743966823,"C1N4"
"100011",2,1.14588681567751,"C2N2"
"000011",4,1.10403148551093,"C2N2"
"110001",2,1.06611487584346,"C2N2"
"010001",2,1.02425954567688,"C2N2"
"100000",8,0.900240660914097,"C2N2"
"100001",27,0.372925784824038,"C2N2"
"000001",24,0.331070454657459,"C2N2"
"000111",1,1.57620706574644,"C3N3"
"000100",1,0.923380823510612,"C3N3"
"000110",12,0.63118731668539,"C3N3"
"001100",10,0.591456261590664,"C3N3"
"001110",22,0.299262754765442,"C3N3"
