"dataset","neighborhood","topology","fold","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_test"
"emotions","gaussian","hexagonal",1,200,1,0.05,0.01,0,0.557673822243278
"emotions","gaussian","hexagonal",2,200,1,0.05,0.01,0,0.539464352687398
"emotions","gaussian","hexagonal",3,200,1,0.05,0.01,0,0.546752374090388
"emotions","bubble","rectangular",1,200,0.5,0.05,0.01,0,0.497862448696867
"emotions","bubble","rectangular",2,200,0.5,0.05,0.01,0,0.464413273132229
"emotions","bubble","rectangular",3,200,0.5,0.05,0.01,0,0.462627213821199
"scene","gaussian","hexagonal",1,500,0.5,0.05,0.01,0,0.436201387260109
"scene","gaussian","hexagonal",2,500,0.5,0.05,0.01,0,0.432233808642005
"scene","gaussian","hexagonal",3,500,0.5,0.05,0.01,0,0.443602433284384
"scene","bubble","hexagonal",1,200,1.5,0.05,0.01,0,0.370512958984524
"scene","bubble","hexagonal",2,200,1.5,0.05,0.01,0,0.378903763378841
"scene","bubble","hexagonal",3,200,1.5,0.05,0.01,0,0.36550754967053
