"dataset","neighborhood","k","cluster","n_folds","prop_amazed.suprised_sd","prop_happy.pleased_sd","prop_relaxing.calm_sd","prop_quiet.still_sd","prop_sad.lonely_sd","prop_angry.aggresive_sd","mean_sd_props","prop_Beach_sd","prop_Sunset_sd","prop_FallFoliage_sd","prop_Field_sd","prop_Mountain_sd","prop_Urban_sd"
"emotions","bubble",2,1,3,0.243143918882378,0.242398967980377,0.228766262143785,0.350586626190848,0.366595304516976,0.232126663143048,0.277269623809568,NA,NA,NA,NA,NA,NA
"emotions","bubble",2,2,3,0.252506764961689,0.262645826894348,0.228644259775123,0.393229586767529,0.427459223840915,0.234678743888542,0.299860734354691,NA,NA,NA,NA,NA,NA
"emotions","bubble",3,1,3,0.153847235012267,0.446134298919256,0.033550756836552,0.341905699297186,0.371001947121241,0.0205360203838486,0.227829326261725,NA,NA,NA,NA,NA,NA
"emotions","bubble",3,2,3,0.278032662267273,0.561581828106879,0.355257259755634,0.389695882424957,0.439314187707275,0.471152635986999,0.415839076041503,NA,NA,NA,NA,NA,NA
"emotions","bubble",3,3,3,0.162297954992024,0.543328479644799,0.330511527518308,0.023094010767585,0.0548874267270576,0.50124128968618,0.269226781555992,NA,NA,NA,NA,NA,NA
"emotions","gaussian",2,1,3,0.0856496768263506,0.221703738373042,0.0365659837004993,0.122521761791961,0.157762195010523,0.0340627979149948,0.109711025602895,NA,NA,NA,NA,NA,NA
"emotions","gaussian",2,2,3,0.0632876523844913,0.234718504106236,0.158322328556615,0.00986923537076283,0.0376510004194575,0.267716539493359,0.128594210055154,NA,NA,NA,NA,NA,NA
"emotions","gaussian",3,1,3,0.228572270953464,0.337635241917016,0.335047994739783,0.265998773030959,0.259261463835424,0.0471230197407096,0.245606460702893,NA,NA,NA,NA,NA,NA
"emotions","gaussian",3,2,3,0.342055510680047,0.147533033140013,0.572960752293418,0.246429992946791,0.212123474676731,0.499250917578796,0.336725613552633,NA,NA,NA,NA,NA,NA
"emotions","gaussian",3,3,3,0.25959721562072,0.548299026370434,0.392285096307055,0.479485968905001,0.435792367259295,0.577350269189626,0.448801657275355,NA,NA,NA,NA,NA,NA
"scene","bubble",2,1,3,NA,NA,NA,NA,NA,NA,0.000847797752113981,0.00169559550422797,0,0.000847797752113978,0.000847797752113978,0.000847797752113962,0.000847797752113995
"scene","bubble",2,2,3,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
"scene","bubble",3,1,3,NA,NA,NA,NA,NA,NA,0.0519926126104805,0.148551802838937,0,0.141654712886674,0.0112484056461659,0.00580869650416113,0.00469205778694525
"scene","bubble",3,2,3,NA,NA,NA,NA,NA,NA,0.306786847624414,0.577350269189626,0.577350269189626,0.577350269189626,0.0347278357407294,0.0456805411478768,0.0282619012890027
"scene","bubble",3,3,3,NA,NA,NA,NA,NA,NA,0.205908137962734,0.577350269189626,0.577350269189626,0,0.00403741446985752,0.0524863881081478,0.0242244868191451
"scene","gaussian",2,1,3,NA,NA,NA,NA,NA,NA,0.133124955899392,0.104246404115002,0.109482185775495,0.0711084364300433,0.171833407562439,0.213180703419723,0.128898598093649
"scene","gaussian",2,2,3,NA,NA,NA,NA,NA,NA,0.277549189928859,0.177144536102182,0.180049955082332,0.0277791077171067,0.538498644223816,0.532930499873551,0.208892396574165
"scene","gaussian",3,1,3,NA,NA,NA,NA,NA,NA,0.206969999305478,0.105430902270501,0.142270019845833,0.132835149266072,0.121910457187856,0.577350269189626,0.162023198072978
"scene","gaussian",3,2,3,NA,NA,NA,NA,NA,NA,0.277549189928859,0.177144536102182,0.180049955082332,0.0277791077171067,0.538498644223816,0.532930499873551,0.208892396574165
"scene","gaussian",3,3,3,NA,NA,NA,NA,NA,NA,0.296846195485342,0.0427678434979827,0,0.304505566495359,0.281097435603856,0.575356058125227,0.577350269189626
