"dataset","neighborhood","fold","ccc","ac"
"emotions","gaussian",1,0.677688968330461,0.366474604535678
"emotions","gaussian",2,0.514675786395571,0.385645670956304
"emotions","gaussian",3,0.540037507201354,0.342490124690491
"emotions","bubble",1,0.660270056687008,0.262226641137532
"emotions","bubble",2,0.642934786458498,0.301210621348911
"emotions","bubble",3,0.584540831568411,0.245852716647054
"scene","gaussian",1,0.874863058071818,0.16902850394752
"scene","gaussian",2,0.611872542244897,0.231847989938072
"scene","gaussian",3,0.474780590231634,0.139479088390993
"scene","bubble",1,0.830628541361583,0.171896760117783
"scene","bubble",2,0.52972979874506,0.10563132466307
"scene","bubble",3,0.563160862051569,0.112412786613097
