"dataset","neighborhood","fold","k","silhouette","mean_entropy","hellinger"
"emotions","gaussian",1,2,0.202916734624056,2.67644468977517,0.734379260332724
"emotions","gaussian",1,3,0.0885103589558168,2.35196734423283,NA
"emotions","gaussian",2,2,0.169306175398216,2.93331529903065,0.716725639281636
"emotions","gaussian",2,3,0.108713995675585,2.27543513376045,NA
"emotions","gaussian",3,2,0.141603344807284,2.71520780623821,0.751288854373501
"emotions","gaussian",3,3,0.091309381847506,2.27715480171809,NA
"emotions","bubble",1,2,0.14844894636256,2.89546532574938,0.714126192000082
"emotions","bubble",1,3,0.106801575835229,2.28761038191559,NA
"emotions","bubble",2,2,0.153333615516984,2.92628497444575,0.70687706218113
"emotions","bubble",2,3,0.0973699269076489,2.32092223214077,NA
"emotions","bubble",3,2,0.122905686837853,2.90557002864774,0.72537425313402
"emotions","bubble",3,3,0.0942578032420283,2.30575353153011,NA
"scene","gaussian",1,2,0.111905220668225,1.80172986316588,0.826186711993637
"scene","gaussian",1,3,0.0188285965710409,1.25321394667209,NA
"scene","gaussian",2,2,0.0916233848963626,1.79286424817307,0.804321339883871
"scene","gaussian",2,3,0.0734764066059638,1.20212720051816,NA
"scene","gaussian",3,2,0.0516104865869567,1.93095387455317,0.925271483902986
"scene","gaussian",3,3,0.0219167324259827,1.3362066849067,NA
"scene","bubble",1,2,0.0845316653141142,1.36894672051089,1
"scene","bubble",1,3,0.0773534397102339,1.01722848038746,NA
"scene","bubble",2,2,0.0582544129105887,1.36987896702868,1
"scene","bubble",2,3,0.0498848193656385,0.980079457689404,NA
"scene","bubble",3,2,0.0616157989778911,1.3687948804995,1
"scene","bubble",3,3,0.0541948322028576,1.02418856721999,NA
