"labelset","n","mean_distance","cluster_neuron"
"010000",122,2.41588652223935e-30,"C1N1"
"001100",8,0.978346581530378,"C2N2"
"000100",109,0.710710952924023,"C2N2"
"100000",123,0.677046956353007,"C2N2"
"001000",120,0.616122332510517,"C2N2"
"000101",2,0.981836844760186,"C2N3"
"000011",1,0.979176874136368,"C2N3"
"100001",6,0.932234660248603,"C2N3"
"000001",135,0.00141599465560762,"C2N3"
"001010",5,0.973410831902894,"C2N4"
"100010",12,0.901595854350284,"C2N4"
"000110",25,0.733563902547171,"C2N4"
"000010",135,0.0259218923485425,"C2N4"
