"cluster","labelset","frequencia","fold","dataset","neighborhood"
1,"000001",135,1,"scene","bubble"
1,"000010",135,1,"scene","bubble"
1,"100000",123,1,"scene","bubble"
1,"001000",120,1,"scene","bubble"
1,"000100",109,1,"scene","bubble"
1,"000110",25,1,"scene","bubble"
1,"100010",13,1,"scene","bubble"
1,"001100",7,1,"scene","bubble"
1,"100001",7,1,"scene","bubble"
1,"001010",4,1,"scene","bubble"
1,"000101",2,1,"scene","bubble"
1,"001110",1,1,"scene","bubble"
2,"010000",121,1,"scene","bubble"
1,"100000",123,2,"scene","bubble"
1,"100010",12,2,"scene","bubble"
1,"100001",6,2,"scene","bubble"
2,"000001",135,2,"scene","bubble"
2,"000010",135,2,"scene","bubble"
2,"010000",122,2,"scene","bubble"
2,"001000",120,2,"scene","bubble"
2,"000100",109,2,"scene","bubble"
2,"000110",25,2,"scene","bubble"
2,"001100",8,2,"scene","bubble"
2,"001010",5,2,"scene","bubble"
2,"000101",2,2,"scene","bubble"
2,"000011",1,2,"scene","bubble"
1,"000010",135,3,"scene","bubble"
1,"100000",123,3,"scene","bubble"
1,"010000",121,3,"scene","bubble"
1,"001000",120,3,"scene","bubble"
1,"000100",109,3,"scene","bubble"
1,"000110",25,3,"scene","bubble"
1,"100010",13,3,"scene","bubble"
1,"001100",8,3,"scene","bubble"
1,"001010",4,3,"scene","bubble"
1,"100100",1,3,"scene","bubble"
2,"000001",135,3,"scene","bubble"
2,"100001",6,3,"scene","bubble"
2,"000101",2,3,"scene","bubble"
