"labelset","n","mean_distance","cluster_neuron"
"000101",2,0.976993464182085,"C1N1"
"100001",6,0.921114248513188,"C1N1"
"000001",135,0.160025410241993,"C1N1"
"001100",8,0.719903584063028,"C1N2"
"001000",120,0.53340240186074,"C1N2"
"000100",109,0.529320294761097,"C1N2"
"010000",122,0.631911845711964,"C1N4"
"100000",123,0.461839855553361,"C1N4"
"001010",5,1.07214629290679,"C2N3"
"000011",1,0.897489916536837,"C2N3"
"000110",25,0.855864245809773,"C2N3"
"100010",12,0.853691660759671,"C2N3"
"000010",135,0.103353612658872,"C2N3"
