"dataset","neighborhood","topology","rlen","radius","alpha_start","alpha_end","qe_val","n_folds","min_qe","mean_qe","sd_qe","fold_num","empty_count"
"emotions","bubble","rectangular",100,2,0.05,0.01,0.463281181475337,3,0.458695762623963,0.468369891649324,0.012988940773982,1,0
"emotions","bubble","rectangular",100,2,0.05,0.01,0.458695762623963,3,0.458695762623963,0.468369891649324,0.012988940773982,2,0
"emotions","bubble","rectangular",100,2,0.05,0.01,0.483132730848674,3,0.458695762623963,0.468369891649324,0.012988940773982,3,0
"emotions","bubble","rectangular",500,1,0.05,0.01,0.467027405820127,3,0.459309135657522,0.474611601526945,0.02019263187786,1,0
"emotions","bubble","rectangular",500,1,0.05,0.01,0.459309135657522,3,0.459309135657522,0.474611601526945,0.02019263187786,2,0
"emotions","bubble","rectangular",500,1,0.05,0.01,0.497498263103186,3,0.459309135657522,0.474611601526945,0.02019263187786,3,0
"emotions","bubble","hexagonal",1000,1,0.05,0.01,0.467704656218997,3,0.459594265023758,0.470535657638647,0.0125977672393524,1,0
"emotions","bubble","hexagonal",1000,1,0.05,0.01,0.459594265023758,3,0.459594265023758,0.470535657638647,0.0125977672393524,2,0
"emotions","bubble","hexagonal",1000,1,0.05,0.01,0.484308051673185,3,0.459594265023758,0.470535657638647,0.0125977672393524,3,0
"emotions","gaussian","hexagonal",100,2,0.05,0.01,0.542106689400777,3,0.542106689400777,0.548578129304564,0.00737271856625839,1,0
"emotions","gaussian","hexagonal",100,2,0.05,0.01,0.547023512291692,3,0.542106689400777,0.548578129304564,0.00737271856625839,2,0
"emotions","gaussian","hexagonal",100,2,0.05,0.01,0.556604186221224,3,0.542106689400777,0.548578129304564,0.00737271856625839,3,0
"emotions","gaussian","hexagonal",100,1,0.05,0.01,0.560563361027398,3,0.545343519539956,0.552105326340009,0.00775040550616872,1,0
"emotions","gaussian","hexagonal",100,1,0.05,0.01,0.550409098452672,3,0.545343519539956,0.552105326340009,0.00775040550616872,2,0
"emotions","gaussian","hexagonal",100,1,0.05,0.01,0.545343519539956,3,0.545343519539956,0.552105326340009,0.00775040550616872,3,0
"emotions","gaussian","hexagonal",500,1,0.05,0.01,0.552436786753701,3,0.546518557428409,0.55191569303515,0.0051563744974758,1,0
"emotions","gaussian","hexagonal",500,1,0.05,0.01,0.546518557428409,3,0.546518557428409,0.55191569303515,0.0051563744974758,2,0
"emotions","gaussian","hexagonal",500,1,0.05,0.01,0.556791734923339,3,0.546518557428409,0.55191569303515,0.0051563744974758,3,0
"scene","bubble","rectangular",1000,1,0.05,0.01,0.358667804142067,3,0.358667804142067,0.365351325962762,0.00652392970953653,1,0
"scene","bubble","rectangular",1000,1,0.05,0.01,0.36568317642441,3,0.358667804142067,0.365351325962762,0.00652392970953653,2,0
"scene","bubble","rectangular",1000,1,0.05,0.01,0.37170299732181,3,0.358667804142067,0.365351325962762,0.00652392970953653,3,0
"scene","bubble","hexagonal",500,1,0.05,0.01,0.358810368501625,3,0.358810368501625,0.416339675863895,0.0807661725703498,1,0
"scene","bubble","hexagonal",500,1,0.05,0.01,0.381535793873075,3,0.358810368501625,0.416339675863895,0.0807661725703498,2,0
"scene","bubble","hexagonal",500,1,0.05,0.01,0.508672865216985,3,0.358810368501625,0.416339675863895,0.0807661725703498,3,0
"scene","bubble","rectangular",500,1,0.05,0.01,0.381699471000022,3,0.358922302761788,0.432390900702253,0.108127166782519,1,1
"scene","bubble","rectangular",500,1,0.05,0.01,0.55655092834495,3,0.358922302761788,0.432390900702253,0.108127166782519,2,1
"scene","bubble","rectangular",500,1,0.05,0.01,0.358922302761788,3,0.358922302761788,0.432390900702253,0.108127166782519,3,1
"scene","gaussian","hexagonal",500,1,0.05,0.01,0.445596715611927,3,0.426159475348524,0.435549076350198,0.0097353139665904,1,0
"scene","gaussian","hexagonal",500,1,0.05,0.01,0.434891038090141,3,0.426159475348524,0.435549076350198,0.0097353139665904,2,0
"scene","gaussian","hexagonal",500,1,0.05,0.01,0.426159475348524,3,0.426159475348524,0.435549076350198,0.0097353139665904,3,0
"scene","gaussian","hexagonal",100,2,0.05,0.01,0.440014888957003,3,0.428677240624727,0.437475285964094,0.00784293585843599,1,0
"scene","gaussian","hexagonal",100,2,0.05,0.01,0.428677240624727,3,0.428677240624727,0.437475285964094,0.00784293585843599,2,0
"scene","gaussian","hexagonal",100,2,0.05,0.01,0.443733728310551,3,0.428677240624727,0.437475285964094,0.00784293585843599,3,0
"scene","gaussian","hexagonal",100,1,0.05,0.01,0.439417096446599,3,0.431120623297238,0.435574591984012,0.00418189945510569,1,0
"scene","gaussian","hexagonal",100,1,0.05,0.01,0.431120623297238,3,0.431120623297238,0.435574591984012,0.00418189945510569,2,0
"scene","gaussian","hexagonal",100,1,0.05,0.01,0.436186056208198,3,0.431120623297238,0.435574591984012,0.00418189945510569,3,0
