"dataset","fold","neighborhood","topology","grid_size","rlen","radius","alpha_start","alpha_end","empty_neurons","qe_val"
"emotions",1,"gaussian","rectangular","2x2",100,1,0.05,0.01,0,0.592770634248352
"emotions",1,"gaussian","rectangular","2x2",500,1,0.05,0.01,0,0.593991587792591
"emotions",1,"gaussian","rectangular","2x2",1000,1,0.05,0.01,0,0.586097453763192
"emotions",1,"gaussian","rectangular","2x2",100,2,0.05,0.01,0,0.601737846718164
"emotions",1,"gaussian","rectangular","2x2",500,2,0.05,0.01,0,0.59162467648426
"emotions",1,"gaussian","rectangular","2x2",1000,2,0.05,0.01,0,0.604247374410984
"emotions",1,"gaussian","hexagonal","2x2",100,1,0.05,0.01,0,0.560563361027398
"emotions",1,"gaussian","hexagonal","2x2",500,1,0.05,0.01,0,0.552436786753701
"emotions",1,"gaussian","hexagonal","2x2",1000,1,0.05,0.01,0,0.568789731653461
"emotions",1,"gaussian","hexagonal","2x2",100,2,0.05,0.01,0,0.542106689400777
"emotions",1,"gaussian","hexagonal","2x2",500,2,0.05,0.01,0,0.576224551192861
"emotions",1,"gaussian","hexagonal","2x2",1000,2,0.05,0.01,0,0.551995030321071
"emotions",1,"bubble","rectangular","2x2",100,1,0.05,0.01,0,0.481854000429072
"emotions",1,"bubble","rectangular","2x2",500,1,0.05,0.01,0,0.467027405820127
"emotions",1,"bubble","rectangular","2x2",1000,1,0.05,0.01,0,0.485853294593824
"emotions",1,"bubble","rectangular","2x2",100,2,0.05,0.01,0,0.463281181475337
"emotions",1,"bubble","rectangular","2x2",500,2,0.05,0.01,0,0.481849401754892
"emotions",1,"bubble","rectangular","2x2",1000,2,0.05,0.01,0,0.466940235978477
"emotions",1,"bubble","hexagonal","2x2",100,1,0.05,0.01,0,0.481018570221723
"emotions",1,"bubble","hexagonal","2x2",500,1,0.05,0.01,0,0.49526945613744
"emotions",1,"bubble","hexagonal","2x2",1000,1,0.05,0.01,0,0.467704656218997
"emotions",1,"bubble","hexagonal","2x2",100,2,0.05,0.01,0,0.486045058761384
"emotions",1,"bubble","hexagonal","2x2",500,2,0.05,0.01,0,0.505464762688804
"emotions",1,"bubble","hexagonal","2x2",1000,2,0.05,0.01,0,0.496807125376569
"scene",1,"gaussian","rectangular","2x2",100,1,0.05,0.01,0,0.455652208596331
"scene",1,"gaussian","rectangular","2x2",500,1,0.05,0.01,0,0.462052967998614
"scene",1,"gaussian","rectangular","2x2",1000,1,0.05,0.01,0,0.450021487649799
"scene",1,"gaussian","rectangular","2x2",100,2,0.05,0.01,0,0.473049173352699
"scene",1,"gaussian","rectangular","2x2",500,2,0.05,0.01,0,0.446244413010739
"scene",1,"gaussian","rectangular","2x2",1000,2,0.05,0.01,0,0.446699234951217
"scene",1,"gaussian","hexagonal","2x2",100,1,0.05,0.01,0,0.439417096446599
"scene",1,"gaussian","hexagonal","2x2",500,1,0.05,0.01,0,0.445596715611927
