"dataset","neighborhood","fold","n","qe_min","qe_mediana","qe_mean","qe_max"
"emotions","bubble",1,48,0.458377390614147,0.466994439097481,0.476758127095414,0.52201981034087
"emotions","bubble",2,48,0.456360275017887,0.46303009288689,0.470317895461278,0.494976793513373
"emotions","bubble",3,48,0.458168201740379,0.46783322338319,0.475798471658594,0.524826843157892
"emotions","gaussian",1,48,0.544141770047762,0.573946350044445,0.57191765952361,0.603854700254441
"emotions","gaussian",2,48,0.532864078297808,0.571440954845707,0.565797879986257,0.622060274997882
"emotions","gaussian",3,48,0.533851171158671,0.571007538631813,0.566358178328278,0.611638338940211
"scene","bubble",1,48,0.358014617087609,0.372234277510262,0.381770346742349,0.554751576682349
"scene","bubble",2,48,0.35840744197918,0.380104775027484,0.385679633905231,0.538435937249758
"scene","bubble",3,48,0.357803782130646,0.37267428601152,0.379129349047535,0.529147974398637
"scene","gaussian",1,48,0.42607405498042,0.446119301062881,0.444210009697544,0.46974539530294
"scene","gaussian",2,48,0.423389329313616,0.445772689195192,0.446231268672775,0.472035966983796
"scene","gaussian",3,48,0.422465257796776,0.444860523940947,0.445477554265161,0.477179663536244
