"dataset","fold","grid_neighborhood","grid_topology","grid_size_x","grid_size_y","rlen","radius","alpha1","alpha2","empty_neurons","qe_val"
"emotions","fold1","gaussian","rectangular",3,3,500,3,0.5,0.01,0,0.291514245677024
"emotions","fold1","gaussian","rectangular",3,3,1000,3,0.5,0.01,0,0.283558186019415
"emotions","fold1","gaussian","rectangular",3,3,1500,3,0.5,0.01,0,0.29475210487848
"emotions","fold1","gaussian","rectangular",3,3,500,5,0.5,0.01,1,0.29475210487848
"emotions","fold1","gaussian","rectangular",3,3,1000,5,0.5,0.01,0,0.288617909756296
"emotions","fold1","gaussian","rectangular",3,3,1500,5,0.5,0.01,0,0.290976514083043
"emotions","fold1","gaussian","rectangular",3,3,500,7,0.5,0.01,1,0.290976514083043
"emotions","fold1","gaussian","rectangular",3,3,1000,7,0.5,0.01,0,0.286214827885419
"emotions","fold1","gaussian","rectangular",3,3,1500,7,0.5,0.01,0,0.295862285925064
"emotions","fold1","gaussian","rectangular",3,3,500,3,0.1,0.01,0,0.294861002438017
"emotions","fold1","gaussian","rectangular",3,3,1000,3,0.1,0.01,0,0.338817571340447
"emotions","fold1","gaussian","rectangular",3,3,1500,3,0.1,0.01,0,0.305504179916937
"emotions","fold1","gaussian","rectangular",3,3,500,5,0.1,0.01,0,0.337971098050277
"emotions","fold1","gaussian","rectangular",3,3,1000,5,0.1,0.01,1,0.337971098050277
"emotions","fold1","gaussian","rectangular",3,3,1500,5,0.1,0.01,0,0.343030720546542
"emotions","fold1","gaussian","rectangular",3,3,500,7,0.1,0.01,0,0.313688928007116
"emotions","fold1","gaussian","rectangular",3,3,1000,7,0.1,0.01,0,0.332797278115827
"emotions","fold1","gaussian","rectangular",3,3,1500,7,0.1,0.01,0,0.331041488536545
"emotions","fold1","gaussian","rectangular",3,3,500,3,0.05,0.01,0,0.348323454941151
"emotions","fold1","gaussian","rectangular",3,3,1000,3,0.05,0.01,0,0.330711501476773
"emotions","fold1","gaussian","rectangular",3,3,1500,3,0.05,0.01,1,0.330711501476773
"emotions","fold1","gaussian","rectangular",3,3,500,5,0.05,0.01,0,0.338570634647625
"emotions","fold1","gaussian","rectangular",3,3,1000,5,0.05,0.01,0,0.295595581403524
"emotions","fold1","gaussian","rectangular",3,3,1500,5,0.05,0.01,0,0.301532466670283
"emotions","fold1","gaussian","rectangular",3,3,500,7,0.05,0.01,0,0.329676945706638
"emotions","fold1","gaussian","rectangular",3,3,1000,7,0.05,0.01,1,0.329676945706638
"emotions","fold1","gaussian","rectangular",3,3,1500,7,0.05,0.01,0,0.334296953913647
"emotions","fold1","gaussian","rectangular",3,3,500,3,0.5,0.005,0,0.289716960836766
"emotions","fold1","gaussian","rectangular",3,3,1000,3,0.5,0.005,0,0.306166564152238
"emotions","fold1","gaussian","rectangular",3,3,1500,3,0.5,0.005,1,0.306166564152238
"emotions","fold1","gaussian","rectangular",3,3,500,5,0.5,0.005,0,0.309746591003231
"emotions","fold1","gaussian","rectangular",3,3,1000,5,0.5,0.005,0,0.322345754648017
"emotions","fold1","gaussian","rectangular",3,3,1500,5,0.5,0.005,0,0.28464186669168
"emotions","fold1","gaussian","rectangular",3,3,500,7,0.5,0.005,0,0.294941335896246
