"dataset","fold","grid_neighborhood","grid_topology","grid_size_x","grid_size_y","rlen","radius","alpha1","alpha2","empty_neurons","qe_val"
"scene","fold2","bubble","hexagonal",3,3,1000,5,0.1,0.005,0,0.0168472630822225
"scene","fold2","bubble","hexagonal",3,3,1500,3,0.05,0.01,0,0.0172158722057846
"scene","fold3","bubble","hexagonal",3,3,1500,5,0.05,0.01,0,0.0189603380343543
"scene","fold3","bubble","hexagonal",3,3,1500,3,0.1,0.001,0,0.0190477627469389
"scene","fold3","bubble","rectangular",3,3,1000,7,0.5,0.01,0,0.0191311867182373
"scene","fold3","bubble","hexagonal",3,3,500,3,0.5,0.005,0,0.0202660140278195
"scene","fold3","bubble","rectangular",3,3,500,3,0.5,0.01,0,0.0203047701605964
"scene","fold2","bubble","hexagonal",3,3,500,3,0.1,0.01,0,0.0203079515976053
"scene","fold2","bubble","hexagonal",3,3,500,5,0.5,0.01,0,0.0203218316960872
"scene","fold1","bubble","hexagonal",3,3,1000,5,0.1,0.01,0,0.0205544461326681
"scene","fold2","gaussian","hexagonal",3,3,1000,3,0.5,0.01,0,0.105580940340907
"scene","fold1","gaussian","hexagonal",2,3,500,3,0.05,0.005,0,0.167898526037318
"scene","fold3","gaussian","hexagonal",2,3,500,3,0.1,0.01,0,0.167929673446345
"scene","fold3","gaussian","hexagonal",2,3,1000,7,0.5,0.001,0,0.168250493491885
"scene","fold1","gaussian","hexagonal",2,3,1000,5,0.5,0.001,0,0.168494251438265
"scene","fold3","gaussian","hexagonal",2,3,1000,3,0.05,0.001,0,0.168508064684735
"scene","fold3","gaussian","hexagonal",2,3,500,3,0.05,0.005,0,0.168664827713193
"scene","fold3","gaussian","hexagonal",2,3,1000,3,0.05,0.005,0,0.168667310368267
"scene","fold2","gaussian","hexagonal",2,3,1000,5,0.05,0.01,0,0.168687009953307
"scene","fold2","gaussian","hexagonal",2,3,1500,3,0.1,0.005,0,0.168721668018051
