"dataset","fold","grid_neighborhood","grid_topology","grid_size_x","grid_size_y","rlen","radius","alpha1","alpha2","empty_neurons","qe_val"
"emotions","fold2","bubble","hexagonal",2,2,500,5,0.1,0.001,0,0.45536995332888
"emotions","fold2","bubble","hexagonal",2,2,1500,5,0.05,0.001,0,0.455615022514457
"emotions","fold2","bubble","hexagonal",2,2,1000,5,0.05,0.001,0,0.455653398658493
"emotions","fold3","gaussian","hexagonal",2,2,1500,3,0.05,0.01,0,0.532629247751393
"emotions","fold2","gaussian","hexagonal",2,2,1500,3,0.5,0.01,0,0.532912652426867
"emotions","fold2","gaussian","hexagonal",2,2,1500,3,0.5,0.005,0,0.533015230041931
"flags","fold3","bubble","rectangular",2,2,1000,3,0.05,0.01,0,0.776036107760874
"flags","fold3","bubble","hexagonal",2,2,1000,3,0.1,0.005,0,0.777515080266662
"flags","fold3","bubble","rectangular",2,2,1500,5,0.05,0.001,0,0.77817255300655
"flags","fold3","gaussian","hexagonal",2,2,1500,3,0.1,0.01,0,0.83031572238727
"flags","fold3","gaussian","hexagonal",2,2,1000,5,0.1,0.005,0,0.830622503869108
"flags","fold3","gaussian","hexagonal",2,2,1500,5,0.5,0.001,0,0.830939480565701
"scene","fold3","bubble","rectangular",2,2,1000,3,0.05,0.005,0,0.357500698171968
"scene","fold1","bubble","rectangular",2,2,1000,3,0.1,0.001,0,0.357573388734136
"scene","fold1","bubble","rectangular",2,2,1000,7,0.05,0.001,0,0.357727923275076
"scene","fold1","gaussian","hexagonal",2,2,1000,7,0.5,0.001,0,0.422349742980284
"scene","fold1","gaussian","hexagonal",2,2,1000,3,0.5,0.005,0,0.422703577517907
"scene","fold2","gaussian","hexagonal",2,2,1000,7,0.5,0.001,0,0.423740567684454
"emotions","fold3","bubble","rectangular",2,3,1000,5,0.5,0.001,0,0.305391531709529
"emotions","fold3","bubble","hexagonal",2,3,1000,5,0.5,0.001,0,0.30586906451596
"emotions","fold1","bubble","rectangular",2,3,1500,3,0.5,0.001,0,0.306482352572286
"emotions","fold2","gaussian","hexagonal",2,3,500,3,0.5,0.001,0,0.381303519522054
"emotions","fold3","gaussian","hexagonal",2,3,500,3,0.5,0.005,0,0.382894806489344
"emotions","fold2","gaussian","hexagonal",2,3,1000,3,0.5,0.005,0,0.383709601876882
"flags","fold3","bubble","rectangular",2,3,500,7,0.5,0.01,0,0.6235341103462
"flags","fold3","bubble","rectangular",2,3,1000,3,0.1,0.01,0,0.628654994648505
"flags","fold3","bubble","rectangular",2,3,1000,7,0.5,0.001,0,0.629571176885948
"flags","fold3","gaussian","hexagonal",2,3,1000,3,0.5,0.001,0,0.699977064889004
"flags","fold3","gaussian","hexagonal",2,3,1500,3,0.5,0.001,0,0.703142779473326
"flags","fold3","gaussian","hexagonal",2,3,1500,7,0.5,0.01,0,0.706352067155666
"scene","fold1","bubble","hexagonal",2,3,1000,3,0.1,0.001,0,0.065113713424333
"scene","fold1","bubble","hexagonal",2,3,1000,3,0.5,0.005,0,0.0651185193759014
"scene","fold1","bubble","rectangular",2,3,1000,5,0.5,0.001,0,0.0651289436061357
"scene","fold1","gaussian","hexagonal",2,3,500,3,0.05,0.005,0,0.167898526037318
"scene","fold1","gaussian","hexagonal",2,3,1000,3,0.05,0.005,1,0.167898526037318
"scene","fold3","gaussian","hexagonal",2,3,500,3,0.1,0.01,0,0.167929673446345
"emotions","fold3","bubble","hexagonal",3,2,500,7,0.5,0.001,0,0.3050913739109
"emotions","fold3","bubble","hexagonal",3,2,500,5,0.5,0.001,0,0.305103349988673
"emotions","fold2","bubble","hexagonal",3,2,500,3,0.5,0.01,0,0.306228721544564
